category,category_slug,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Mechanical Ventilation","mechanical-ventilation","Initial ventilator setup for hypercapnic respiratory failure","medium","decision-making","high","A patient with COPD exacerbation is intubated for acute hypercapnic respiratory failure. Which initial ventilator strategy is most appropriate?","Low tidal volume with moderate rate allowing longer expiratory time","High tidal volume with short expiratory time","Low rate with high tidal volume","Very high PEEP with low rate","A","COPD patients require lung-protective tidal volumes and sufficient expiratory time to avoid air trapping.","A: Correct because it balances ventilation and prevents dynamic hyperinflation. | B: Short expiratory time worsens auto-PEEP. | C: High tidal volumes increase barotrauma risk. | D: Excess PEEP can worsen hyperinflation.","COPD | hypercapnia | expiratory time","Ignoring air trapping risk in COPD.","Match settings to obstructive physiology.","pass"
"Mechanical Ventilation","mechanical-ventilation","Oxygenation lever selection","medium","decision-making","high","An intubated patient has PaCO2 40 mm Hg and PaO2 55 mm Hg on FiO2 0.80 and PEEP 5. Which ventilator adjustment best improves oxygenation?","Increase PEEP","Increase respiratory rate","Decrease inspiratory flow","Increase tidal volume to 10 mL/kg","A","PaCO2 is normal, so ventilation is adequate. Oxygenation improves most directly with increased PEEP.","A: Correct oxygenation lever. | B: Rate affects CO2 primarily. | C: Flow change not primary oxygenation fix. | D: Higher VT risks lung injury.","PaCO2 normal | PaO2 low","Treating CO2 when O2 is problem.","Use correct lever for physiologic issue.","pass"
"Mechanical Ventilation","mechanical-ventilation","Ventilation lever selection","medium","decision-making","high","ABG: pH 7.28, PaCO2 60 mm Hg, PaO2 92 mm Hg on FiO2 0.40. What ventilator change best corrects the primary problem?","Increase respiratory rate","Increase PEEP","Increase FiO2","Decrease inspiratory time","A","Elevated PaCO2 indicates inadequate ventilation; increasing rate increases minute ventilation.","A: Correct ventilation adjustment. | B: PEEP affects oxygenation. | C: Oxygenation already adequate. | D: Not primary CO2 lever.","high CO2 | normal PaO2","Changing oxygen when ventilation failing.","CO2 = ventilation lever.","pass"
"Mechanical Ventilation","mechanical-ventilation","Auto-PEEP recognition","hard","interpretation","high","A ventilated COPD patient becomes hypotensive. Flow-time waveform shows expiratory flow not returning to baseline before next breath. What is most likely occurring?","Auto-PEEP from air trapping","Ventilator circuit leak","Low compliance ARDS","Hypovolemia unrelated to ventilation","A","Incomplete exhalation before next breath indicates dynamic hyperinflation and intrinsic PEEP.","A: Correct waveform sign. | B: Leak would show different alarm pattern. | C: Compliance issue shows different waveform pattern. | D: Hypotension linked to intrathoracic pressure rise.","flow not returning to baseline","Missing waveform clues.","Waveform pattern recognition is high yield.","pass"
"Mechanical Ventilation","mechanical-ventilation","Assist-control mode characteristic","medium","recall","moderate","Which statement best describes volume assist-control ventilation?","Every breath receives full preset tidal volume","Only spontaneous breaths are supported","Pressure varies to maintain constant pressure","Tidal volume changes with compliance automatically","A","In volume assist-control, each triggered breath delivers preset tidal volume.","A: Correct AC definition. | B: That describes pressure support. | C: That describes pressure control. | D: Volume AC delivers set VT.","assist-control definition","Confusing AC with PS.","Know mode definitions cold.","pass"
"Mechanical Ventilation","mechanical-ventilation","Pressure control mode characteristic","medium","recall","moderate","In pressure control ventilation, which variable is set and remains constant during inspiration?","Inspiratory pressure","Tidal volume","Minute ventilation","Expiratory flow","A","Pressure control delivers constant preset inspiratory pressure; tidal volume varies.","A: Correct PC property. | B: VT varies. | C: Minute ventilation varies. | D: Expiratory flow not controlled variable.","pressure control","Confusing pressure and volume modes.","Identify control variable.","pass"
"Mechanical Ventilation","mechanical-ventilation","ARDS lung-protective strategy","hard","decision-making","high","A patient with ARDS is on VT 10 mL/kg. Plateau pressure is 35 cm H2O. What is the best change?","Reduce tidal volume to 6 mL/kg","Increase tidal volume to improve oxygenation","Decrease respiratory rate","Remove PEEP","A","Plateau pressure >30 indicates risk of ventilator-induced lung injury; reduce tidal volume.","A: Correct lung-protective strategy. | B: Increases injury risk. | C: Rate not primary problem. | D: PEEP removal may worsen oxygenation.","plateau 35","Ignoring plateau pressure limits.","Protect lung first.","pass"
"Mechanical Ventilation","mechanical-ventilation","Plateau pressure measurement","medium","interpretation","moderate","How is plateau pressure accurately measured?","Perform inspiratory hold maneuver","Increase FiO2 to 1.0","Decrease tidal volume","Switch to pressure support","A","Plateau pressure requires inspiratory pause to eliminate flow.","A: Correct measurement technique. | B: Not related. | C: Does not measure plateau directly. | D: Mode change unnecessary.","inspiratory hold","Confusing peak and plateau.","Know measurement technique.","pass"
"Mechanical Ventilation","mechanical-ventilation","High peak pressure normal plateau meaning","hard","interpretation","high","A patient has peak pressure 45 cm H2O and plateau 22 cm H2O. What is most likely cause?","Increased airway resistance","Decreased lung compliance","Worsening ARDS","Low tidal volume","A","Large difference between peak and plateau suggests airway resistance problem.","A: Correct bronchospasm or obstruction pattern. | B: Compliance issue elevates plateau. | C: ARDS raises plateau. | D: VT low would reduce pressures.","peak vs plateau gap","Not comparing peak and plateau.","Differentiate resistance vs compliance.","pass"
"Mechanical Ventilation","mechanical-ventilation","Weaning readiness indicator","medium","decision-making","high","Which finding best suggests readiness for spontaneous breathing trial?","Stable hemodynamics and adequate oxygenation on low support","High PEEP requirement","FiO2 0.90","Severe acidosis","A","Weaning requires stability and low support settings.","A: Correct readiness indicator. | B: High PEEP not ready. | C: High FiO2 not ready. | D: Severe acidosis not stable.","low support | stable","Extubating unstable patients.","Assess stability before weaning.","pass"
