category,category_slug,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Mechanical Ventilation","mechanical-ventilation","Spontaneous breathing trial criteria","medium","decision-making","high","A patient recovering from pneumonia is on FiO2 0.40, PEEP 5 cm H2O, hemodynamically stable, awake, and following commands. ABG shows pH 7.39, PaCO2 42 mm Hg, PaO2 88 mm Hg. What is the next best step?","Initiate spontaneous breathing trial","Increase PEEP","Increase tidal volume","Maintain full ventilatory support for 24 more hours","A","Patient meets typical readiness criteria for SBT including stable oxygenation, low PEEP, and mental status.","A: Correct liberation step. | B: No oxygenation failure present. | C: VT change unnecessary. | D: Delays liberation without indication.","FiO2 0.40 | PEEP 5 | stable","Delaying weaning unnecessarily.","Assess readiness systematically.","pass"
"Mechanical Ventilation","mechanical-ventilation","Rapid shallow breathing index interpretation","hard","interpretation","high","During SBT, respiratory rate is 32/min and tidal volume is 250 mL. What is the RSBI?","128","80","0.8","8","A","RSBI = RR divided by VT in liters (32 / 0.25 = 128). Values above 105 predict failure.","A: Correct calculation. | B: Miscalculation. | C: Incorrect formula use. | D: Incorrect math.","RR 32 | VT 250 mL","Forgetting to convert mL to liters.","RSBI threshold 105.","pass"
"Mechanical Ventilation","mechanical-ventilation","RSBI clinical meaning","medium","interpretation","high","A patient undergoing SBT has RR 18/min and VT 500 mL. What does this suggest?","Likely successful weaning candidate","High risk of failure","Immediate reintubation needed","Severe auto-PEEP present","A","RSBI = 18 / 0.5 = 36, well below 105 threshold, suggesting likely success.","A: Correct interpretation. | B: Not supported. | C: No evidence. | D: No data suggests auto-PEEP.","RR 18 | VT 500 mL","Not calculating RSBI.","Interpret threshold properly.","pass"
"Mechanical Ventilation","mechanical-ventilation","Cuff leak test purpose","medium","decision-making","moderate","A patient passes SBT but has prolonged intubation and neck edema. What test helps assess risk of post-extubation stridor?","Cuff leak test","Increase FiO2","Increase respiratory rate","Decrease PEEP","A","Cuff leak test assesses upper airway patency and edema before extubation.","A: Correct assessment. | B: Does not assess airway swelling. | C: Irrelevant. | D: Irrelevant.","neck edema | prolonged intubation","Ignoring airway patency before extubation.","Airway protection is critical.","pass"
"Mechanical Ventilation","mechanical-ventilation","Extubation failure risk","hard","interpretation","moderate","A patient passes SBT but requires increasing oxygen support and shows weak cough. What does this suggest?","High risk for extubation failure","Ready for immediate extubation","Ventilator malfunction","Sedation overdose","A","Weak cough and rising oxygen requirement increase failure risk.","A: Correct risk recognition. | B: Unsafe assumption. | C: Not supported. | D: No sedation data.","weak cough | rising oxygen","Ignoring secretion clearance ability.","Liberation requires airway protection.","pass"
"Mechanical Ventilation","mechanical-ventilation","Post-extubation support selection","hard","decision-making","high","A high-risk COPD patient is successfully extubated. What strategy reduces reintubation risk?","Apply noninvasive ventilation immediately","Place on room air","Start bronchoscopy","Reintubate prophylactically","A","Prophylactic NIV reduces reintubation risk in high-risk COPD patients.","A: Evidence-based strategy. | B: May cause failure. | C: Not indicated. | D: No indication for reintubation.","COPD | high risk","Not supporting high-risk patients.","Use evidence-based prevention.","pass"
"Mechanical Ventilation","mechanical-ventilation","Auto-PEEP recognition during weaning","hard","interpretation","high","During SBT, patient develops tachypnea and expiratory flow does not return to baseline before next breath. What is most likely present?","Auto-PEEP","Hypoventilation","Circuit leak","Low tidal volume alarm","A","Incomplete exhalation before next breath indicates dynamic hyperinflation and auto-PEEP.","A: Correct mechanism. | B: Not primary issue. | C: No leak described. | D: Alarm not primary physiology.","expiratory flow not baseline","Missing flow waveform clues.","Waveform interpretation matters.","pass"
"Mechanical Ventilation","mechanical-ventilation","Negative inspiratory force threshold","medium","interpretation","moderate","A patient generates −35 cm H2O negative inspiratory force. What does this indicate?","Adequate inspiratory muscle strength for extubation","Respiratory muscle failure","Severe neuromuscular weakness","Immediate need for tracheostomy","A","NIF more negative than −20 to −30 suggests adequate strength.","A: Correct threshold. | B: Opposite finding. | C: Not supported. | D: No indication.","NIF −35","Confusing threshold values.","Know weaning parameters.","pass"
"Mechanical Ventilation","mechanical-ventilation","Minute ventilation increase during SBT","medium","interpretation","moderate","During SBT, minute ventilation rises significantly with stable ABG values. What is most likely explanation?","Increased work of breathing","Improved lung compliance","Sedation overdose","Ventilator malfunction","A","Rising minute ventilation during unsupported breathing often reflects increased respiratory effort.","A: Correct physiologic interpretation. | B: Would reduce effort. | C: Sedation lowers drive. | D: No mechanical issue described.","minute ventilation rising","Ignoring physiologic stress signs.","Assess effort trends.","pass"
"Mechanical Ventilation","mechanical-ventilation","Weaning failure cause identification","hard","decision-making","high","During SBT, patient develops hypertension, tachycardia, diaphoresis, and increasing respiratory distress. What is the most appropriate action?","Terminate SBT and return to ventilatory support","Continue trial to build endurance","Administer sedative and continue","Extubate immediately","A","Signs of intolerance require stopping SBT and restoring support.","A: Correct safety action. | B: Unsafe persistence. | C: Masks failure. | D: Not appropriate during distress.","tachycardia | diaphoresis","Forcing SBT despite distress.","Safety over endurance.","pass"
