category,category_slug,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Mechanical Ventilation","mechanical-ventilation","High pressure alarm troubleshooting","medium","decision-making","high","A ventilated patient suddenly triggers a high peak pressure alarm. Plateau pressure is unchanged from baseline. What is the most likely cause?","Bronchospasm or secretion obstruction","Worsening ARDS","Pneumothorax","Decreased lung compliance","A","Elevated peak with stable plateau indicates increased airway resistance rather than compliance change.","A: Correct because resistance raises peak but not plateau. | B: ARDS increases plateau. | C: Pneumothorax usually increases plateau. | D: Compliance problems elevate both peak and plateau.","peak high | plateau unchanged","Ignoring plateau comparison.","Always compare peak vs plateau.","pass"
"Mechanical Ventilation","mechanical-ventilation","Low pressure alarm cause","medium","interpretation","moderate","A low pressure alarm sounds and delivered tidal volume is reduced. What is the most likely cause?","Ventilator circuit disconnection","Bronchospasm","Mucus plugging","Severe ARDS","A","Low pressure alarms commonly indicate disconnection or circuit leak.","A: Correct classic cause. | B: Bronchospasm increases pressure. | C: Plug increases pressure. | D: ARDS raises pressure.","low pressure | low VT","Confusing low pressure with obstruction.","Low pressure = leak.","pass"
"Mechanical Ventilation","mechanical-ventilation","Flow-time waveform interpretation","hard","interpretation","high","On the flow-time waveform, expiratory flow does not return to baseline before the next inspiration begins. What intervention is most appropriate?","Decrease respiratory rate to allow more exhalation time","Increase tidal volume","Increase PEEP","Shorten inspiratory time","A","Incomplete exhalation indicates air trapping; lowering rate allows longer expiratory phase.","A: Correct fix for auto-PEEP. | B: Higher VT worsens trapping. | C: Higher PEEP may worsen hyperinflation. | D: Shorter inspiratory time alone may not be sufficient.","expiratory flow not baseline","Ignoring dynamic hyperinflation.","Fix cause of auto-PEEP.","pass"
"Mechanical Ventilation","mechanical-ventilation","Compliance decrease recognition","hard","interpretation","high","Peak pressure and plateau pressure both rise significantly after a patient develops acute pulmonary edema. What is the primary physiologic change?","Decreased lung compliance","Increased airway resistance","Ventilator malfunction","Reduced inspiratory flow","A","When both peak and plateau increase, lung compliance is reduced.","A: Correct compliance pattern. | B: Resistance elevates peak only. | C: Malfunction unlikely with consistent pattern. | D: Flow setting not primary cause.","peak and plateau both high","Not distinguishing resistance vs compliance.","Both high = compliance problem.","pass"
"Mechanical Ventilation","mechanical-ventilation","Sudden hypotension on ventilator","hard","decision-making","high","A ventilated patient develops sudden hypotension, hypoxemia, and unilateral absent breath sounds. What should be done first?","Needle decompression of suspected tension pneumothorax","Increase FiO2","Administer fluid bolus only","Obtain chest x-ray before intervention","A","Findings strongly suggest tension pneumothorax, which requires immediate decompression.","A: Correct life-saving step. | B: Oxygen alone insufficient. | C: Fluids do not relieve pressure. | D: Imaging delays critical treatment.","hypotension | unilateral breath sounds","Waiting for imaging in emergency.","Treat life threats immediately.","pass"
"Mechanical Ventilation","mechanical-ventilation","Pressure-volume loop beaking","hard","interpretation","moderate","A pressure-volume loop shows an upper inflection with beaking at the top of the curve. What does this indicate?","Alveolar overdistension","Inadequate PEEP","Airway leak","Bronchospasm","A","Beaking indicates overdistension at high pressures.","A: Correct classic PV loop sign. | B: Low PEEP shows different pattern. | C: Leak changes loop closure. | D: Bronchospasm affects flow loop shape.","beaking on PV loop","Missing graphic clues.","Waveform pattern recognition is high yield.","pass"
"Mechanical Ventilation","mechanical-ventilation","Flow-volume loop obstruction pattern","medium","interpretation","moderate","On a flow-volume loop, the expiratory limb appears scooped and concave. What is most likely present?","Airway obstruction","Decreased compliance","Neuromuscular weakness","Ventilator leak","A","Scooped expiratory limb indicates obstructive physiology.","A: Correct obstruction pattern. | B: Compliance affects size not shape. | C: Weakness changes volume but not concavity. | D: Leak alters baseline return.","scooped expiratory limb","Ignoring loop morphology.","Recognize obstruction visually.","pass"
"Mechanical Ventilation","mechanical-ventilation","Trigger sensitivity problem","medium","decision-making","moderate","A patient appears to be making inspiratory efforts that do not trigger the ventilator. What adjustment is most appropriate?","Increase trigger sensitivity","Decrease PEEP to zero","Increase tidal volume","Decrease FiO2","A","Failure to trigger suggests trigger sensitivity is set too low.","A: Correct adjustment. | B: PEEP unrelated to triggering here. | C: VT unrelated to triggering effort. | D: Oxygenation not the issue.","ineffective efforts","Not assessing trigger settings.","Match setting to patient effort.","pass"
"Mechanical Ventilation","mechanical-ventilation","Inverse I:E ratio effect","hard","interpretation","moderate","A ventilator is set with prolonged inspiratory time resulting in inverse I:E ratio. What is a potential hemodynamic consequence?","Reduced venous return and hypotension","Improved cardiac output","Decreased intrathoracic pressure","Increased preload","A","Prolonged inspiratory time increases mean airway pressure, reducing venous return.","A: Correct physiologic effect. | B: Opposite effect. | C: Pressure increases not decreases. | D: Preload falls not rises.","inverse I:E | hypotension","Forgetting hemodynamic effects.","Ventilator changes affect circulation.","pass"
"Mechanical Ventilation","mechanical-ventilation","Auto-PEEP correction strategy","hard","decision-making","high","A COPD patient has confirmed intrinsic PEEP of 8 cm H2O. Which ventilator adjustment may reduce air trapping?","Decrease respiratory rate and tidal volume","Increase respiratory rate","Increase inspiratory time","Increase FiO2","A","Reducing rate and tidal volume allows more complete exhalation.","A: Correct strategy. | B: Higher rate worsens trapping. | C: Longer inspiratory time shortens exhalation. | D: Oxygen does not correct trapping.","intrinsic PEEP 8","Ignoring expiratory time.","Fix air trapping mechanics.","pass"
