category,category_slug,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Patient Assessment","patient-assessment","Paradoxical breathing recognition","hard","interpretation","high","A trauma patient demonstrates inward abdominal movement during inspiration and outward movement during expiration. What does this most likely indicate?","Diaphragmatic fatigue or paralysis","Normal breathing pattern","Hyperventilation syndrome","Pleural effusion","A","Paradoxical abdominal movement indicates diaphragmatic dysfunction or severe fatigue.","A: Correct physiologic interpretation. | B: This is abnormal. | C: Hyperventilation does not cause paradoxical motion. | D: Effusion does not produce this movement pattern.","inward abdomen on inspiration","Missing abnormal movement patterns.","Visual assessment is critical.","pass"
"Patient Assessment","patient-assessment","Level of consciousness and CO2 retention","medium","interpretation","high","A COPD patient becomes drowsy with RR 8/min and shallow breathing. SpO2 is 95% on 3 L/min oxygen. What is the most likely cause of altered mental status?","Acute hypercapnia","Improved oxygenation","Metabolic alkalosis","Equipment malfunction","A","Normal SpO2 does not exclude CO2 retention; hypoventilation suggests hypercapnia.","A: Correct ventilation issue. | B: Oxygenation adequate. | C: No ABG data provided. | D: No device issue described.","RR 8 | drowsy | COPD","Relying only on SpO2.","Ventilation must be assessed separately.","pass"
"Patient Assessment","patient-assessment","Pulse pressure narrowing significance","hard","interpretation","moderate","A patient with severe respiratory distress has BP 90/70 mm Hg. What does narrow pulse pressure most suggest?","Decreased stroke volume","Improved perfusion","Systemic vasodilation","Anxiety response","A","Narrow pulse pressure often reflects low stroke volume and compromised cardiac output.","A: Correct hemodynamic link. | B: Opposite finding. | C: Vasodilation widens pulse pressure. | D: Anxiety increases pulse pressure.","90/70 | narrow pulse pressure","Ignoring blood pressure patterns.","Assess perfusion patterns carefully.","pass"
"Patient Assessment","patient-assessment","Capillary refill interpretation","medium","interpretation","moderate","Capillary refill greater than 3 seconds most directly suggests what?","Poor peripheral perfusion","Normal circulation","Hypercapnia","Bronchospasm","A","Delayed refill indicates reduced perfusion.","A: Correct perfusion indicator. | B: Not normal. | C: CO2 unrelated. | D: Bronchospasm affects airflow not refill.","cap refill >3 sec","Overlooking simple bedside indicators.","Perfusion signs are high yield.","pass"
"Patient Assessment","patient-assessment","Tripod positioning meaning","medium","interpretation","high","A patient sits leaning forward with arms braced on knees during dyspnea. What does this positioning suggest?","Severe obstructive lung disease","Stable respiratory function","Primary metabolic acidosis","Sedation overdose","A","Tripod positioning increases accessory muscle efficiency in obstruction.","A: Correct obstructive pattern. | B: Not stable. | C: Not posture-related. | D: Sedation would reduce posture.","tripod position","Ignoring positioning clues.","Posture provides diagnostic insight.","pass"
"Patient Assessment","patient-assessment","Breath sound absence significance","hard","decision-making","high","A ventilated patient suddenly has absent breath sounds on the right and acute desaturation. What is most concerning?","Pneumothorax","Mild atelectasis","Anxiety","Equipment noise","A","Sudden unilateral absence with desaturation strongly suggests pneumothorax.","A: Correct emergency. | B: Less abrupt. | C: Not physiologic cause. | D: Irrelevant.","absent unilateral sounds","Underestimating sudden changes.","Acute changes require urgent evaluation.","pass"
"Patient Assessment","patient-assessment","Jugular venous distention meaning","hard","interpretation","moderate","A dyspneic patient has distended neck veins and hypotension. What condition should be suspected?","Obstructive shock","Asthma exacerbation","Metabolic alkalosis","Sedation overdose","A","JVD with hypotension suggests impaired venous return such as tension pneumothorax or tamponade.","A: Correct hemodynamic reasoning. | B: Asthma does not cause JVD with hypotension typically. | C: Not related. | D: No sedation described.","JVD | hypotension","Ignoring neck vein findings.","Recognize obstructive physiology.","pass"
"Patient Assessment","patient-assessment","Accessory muscle fatigue progression","hard","interpretation","high","A patient initially using accessory muscles becomes quiet with decreasing respiratory rate despite worsening hypoxemia. What does this likely indicate?","Impending respiratory failure","Clinical improvement","Resolution of obstruction","Equipment error","A","Decreasing effort after severe distress suggests fatigue and failure.","A: Correct dangerous progression. | B: Not supported. | C: No improvement evidence. | D: Not device issue.","decreasing effort | worsening hypoxemia","Thinking quiet equals stable.","Fatigue precedes failure.","pass"
"Patient Assessment","patient-assessment","Pulse oximetry waveform importance","medium","interpretation","moderate","Why is waveform assessment important when interpreting SpO2?","Ensures signal reliability","Determines CO2 level","Measures hemoglobin directly","Replaces ABG testing","A","Poor waveform can cause inaccurate SpO2 values.","A: Correct monitoring principle. | B: CO2 measured by capnography. | C: Not direct measurement. | D: ABG still required for full assessment.","waveform quality","Trusting number without waveform.","Validate monitor data.","pass"
"Patient Assessment","patient-assessment","Diaphoresis significance in distress","medium","interpretation","moderate","A dyspneic patient develops diaphoresis and agitation. What does this most likely reflect?","Sympathetic activation from distress","Sedation effect","Improved oxygenation","Metabolic alkalosis","A","Diaphoresis and agitation reflect increased sympathetic response to stress.","A: Correct physiologic response. | B: Sedation reduces agitation. | C: Not improvement sign. | D: Not primary cause.","diaphoresis | agitation","Overlooking stress signs.","Systemic stress indicators matter.","pass"
