category,category_slug,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Neonatal & Pediatrics","neonatal-peds","Neonatal oxygen saturation targets","medium","decision-making","high","A premature infant born at 29 weeks is receiving supplemental oxygen. Which oxygen saturation range is most appropriate to reduce risk of retinopathy of prematurity while maintaining adequate oxygenation?","90 to 95 percent","98 to 100 percent","80 to 85 percent","100 percent continuously","A","Maintaining saturations in the low to mid 90s reduces both hypoxic injury and oxygen toxicity risk in premature infants.","A: Correct balance between hypoxia and hyperoxia. | B: Excessive oxygen increases ROP risk. | C: Too low for adequate tissue oxygenation. | D: Continuous 100 percent is unsafe.","premature | retinopathy risk | target range","Over-oxygenating preterm infants.","Avoid both hypoxia and hyperoxia in neonates.","pass"
"Neonatal & Pediatrics","neonatal-peds","Bronchiolitis support strategy","medium","decision-making","moderate","A 4-month-old infant with bronchiolitis has moderate retractions and SpO2 88 percent on room air. What is the most appropriate initial respiratory support?","Heated high-flow nasal cannula","Immediate intubation","Bronchodilator and discharge home","Diuretic therapy","A","High-flow nasal cannula provides oxygen and flow support for moderate bronchiolitis before escalation to invasive ventilation.","A: Appropriate supportive therapy. | B: No signs of impending arrest. | C: Discharge unsafe with hypoxemia. | D: No evidence of fluid overload.","infant | bronchiolitis | SpO2 88 percent","Jumping to intubation too early.","Escalate support stepwise based on distress.","pass"
"Neonatal & Pediatrics","neonatal-peds","Meconium aspiration physiology","hard","interpretation","high","A term infant with meconium-stained fluid develops respiratory distress and patchy infiltrates on chest radiograph. Which mechanism contributes most to hypoxemia?","Airway obstruction with VQ mismatch","Surfactant overproduction","Primary metabolic acidosis","Congenital heart defect","A","Meconium causes airway obstruction and uneven ventilation leading to VQ mismatch.","A: Correct mechanism. | B: Surfactant is impaired, not increased. | C: Acidosis is secondary. | D: Not indicated by scenario.","meconium | patchy infiltrates","Missing VQ mismatch mechanism.","Think obstruction + inflammation.","pass"
"Neonatal & Pediatrics","neonatal-peds","Croup assessment severity","medium","interpretation","moderate","A toddler with barking cough and inspiratory stridor develops stridor at rest with retractions. What does this indicate?","Severe upper airway obstruction","Mild viral illness","Lower airway bronchospasm","Pulmonary edema","A","Stridor at rest with retractions signals severe upper airway narrowing.","A: Correct severity indicator. | B: Mild illness has stridor only when agitated. | C: Lower airway disease produces wheezing. | D: Not consistent with symptoms.","stridor at rest | retractions","Underestimating stridor severity.","Resting stridor = severe obstruction.","pass"
"Neonatal & Pediatrics","neonatal-peds","Neonatal bradycardia management","medium","decision-making","high","During neonatal resuscitation, heart rate remains below 60 beats per minute despite adequate ventilation. What is the next step?","Begin chest compressions","Increase oxygen to 100 percent only","Administer diuretics","Stop ventilation and reassess","A","If heart rate remains below 60 after effective ventilation, chest compressions are indicated.","A: Correct NRP sequence. | B: Ventilation already adequate. | C: Not relevant. | D: Ventilation must continue.","HR below 60 | neonatal resuscitation","Forgetting compression threshold.","Ventilation first, compressions if HR < 60.","pass"
"Neonatal & Pediatrics","neonatal-peds","Pediatric ARDS oxygenation strategy","hard","decision-making","high","A child with ARDS remains hypoxemic on moderate PEEP and FiO2 0.80. Tidal volume is lung protective. What intervention may improve oxygenation without increasing tidal volume?","Increase PEEP cautiously","Increase tidal volume to 10 mL per kg","Decrease PEEP","Extubate to nasal cannula","A","Increasing PEEP can improve alveolar recruitment in ARDS while maintaining lung protection.","A: Correct oxygenation lever. | B: High tidal volumes increase injury risk. | C: Would worsen oxygenation. | D: Patient unstable.","ARDS | lung protective | hypoxemia","Increasing tidal volume in ARDS.","Use PEEP for oxygenation.","pass"
"Neonatal & Pediatrics","neonatal-peds","Patent ductus arteriosus effect","medium","interpretation","moderate","A premature infant develops bounding pulses and widened pulse pressure. What is the most likely cause?","Patent ductus arteriosus","Hypovolemia","Severe dehydration","Pulmonary embolism","A","PDA creates left-to-right shunt leading to bounding pulses and widened pulse pressure.","A: Classic PDA findings. | B-D: Do not cause widened pulse pressure in this context.","bounding pulses | widened pulse pressure","Missing hemodynamic clue.","Think PDA in premature infants.","pass"
"Neonatal & Pediatrics","neonatal-peds","Infant airway obstruction sign","medium","interpretation","moderate","An infant becomes cyanotic and silent after a choking episode. What does absence of cough or cry most likely indicate?","Complete airway obstruction","Mild irritation","Bronchospasm","Normal response","A","Silent choking with cyanosis suggests complete airway obstruction.","A: Correct emergency finding. | B-D: Not consistent with silent cyanosis.","silent | cyanotic | choking","Waiting for cough to return.","Silent choking = complete obstruction.","pass"
"Neonatal & Pediatrics","neonatal-peds","Neonatal metabolic acidosis compensation","hard","interpretation","high","A neonate with sepsis has pH 7.25, PaCO2 28 mm Hg, and HCO3 12 mEq per L. What acid-base disturbance is present?","Metabolic acidosis with respiratory compensation","Primary respiratory alkalosis","Mixed respiratory acidosis","Normal acid-base status","A","Low pH with low bicarbonate and low PaCO2 indicates metabolic acidosis with compensatory hyperventilation.","A: Correct interpretation. | B: pH is low, not high. | C: PaCO2 is low not high. | D: Values clearly abnormal.","low HCO3 | low PaCO2 | sepsis","Missing compensation pattern.","Low bicarb drives hyperventilation.","pass"
"Neonatal & Pediatrics","neonatal-peds","Pediatric epiglottitis emergency priority","hard","decision-making","high","A child with suspected epiglottitis is sitting upright, drooling, and in severe distress. What is the priority intervention?","Prepare for controlled airway management in operating room","Perform aggressive throat examination","Administer oral medication and discharge","Lay the child supine for imaging","A","Airway protection in a controlled setting is priority. Agitation or throat exam may precipitate obstruction.","A: Correct airway-first strategy. | B: Can cause complete obstruction. | C: Unsafe discharge. | D: Supine positioning may worsen airway collapse.","drooling | tripod position | severe distress","Attempting throat exam in unstable child.","Secure airway safely with minimal agitation.","pass"
