category,category_slug,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Patient Assessment","patient-assessment","Early respiratory distress recognition","medium","interpretation","high","A 48-year-old postoperative patient has RR 28/min, HR 110/min, SpO2 91% on 2 L/min nasal cannula, and mild accessory muscle use. Breath sounds are diminished bilaterally. What does this most likely indicate?","Early respiratory distress","Stable condition","Sedation overdose","Primary metabolic acidosis","A","Tachypnea, mild hypoxemia, and accessory muscle use indicate early respiratory compromise.","A: Correct. | B: Findings are abnormal. | C: No bradypnea or decreased LOC. | D: No acid-base data provided.","RR 28 | accessory muscles | early","Waiting for severe signs before intervening.","Identify distress early before failure.","pass"
"Patient Assessment","patient-assessment","Work of breathing indicators","medium","interpretation","high","Which finding most strongly indicates increased work of breathing?","Use of sternocleidomastoid muscles","Clear breath sounds","SpO2 97%","HR 72/min","A","Accessory muscle recruitment reflects increased ventilatory effort.","A: Correct sign. | B: Not WOB indicator. | C: Normal oxygenation. | D: Normal HR.","accessory muscles","Focusing only on SpO2.","Observe physical effort signs.","pass"
"Patient Assessment","patient-assessment","Cyanosis interpretation","medium","interpretation","moderate","A patient appears cyanotic but pulse oximetry reads 98%. What is the most likely explanation?","Peripheral vasoconstriction artifact","Severe shunt","Equipment malfunction","Acute hypercapnia","A","Peripheral cyanosis can occur despite normal arterial oxygenation.","A: Correct. | B: Would show hypoxemia. | C: No malfunction evidence. | D: Hypercapnia not described.","cyanosis | normal SpO2","Assuming cyanosis always equals hypoxemia.","Correlate perfusion with oxygenation.","pass"
"Patient Assessment","patient-assessment","Altered mental status cause","hard","decision-making","high","A patient becomes confused with RR 10/min and shallow breathing. SpO2 is 94% on oxygen. What is the most appropriate next assessment?","Check ABG for hypercapnia","Increase oxygen to 100%","Administer bronchodilator","Order chest CT","A","Hypoventilation may cause CO2 retention despite acceptable SpO2.","A: Correct. | B: Oxygen does not fix hypoventilation. | C: No bronchospasm data. | D: Not first step.","RR 10 | shallow breathing","Relying only on SpO2.","Assess ventilation not just oxygenation.","pass"
"Patient Assessment","patient-assessment","Breath sound interpretation","medium","interpretation","moderate","Which breath sound is most consistent with alveolar fluid accumulation?","Crackles","Stridor","Pleural friction rub","Absent sounds","A","Crackles are commonly associated with fluid in alveoli.","A: Correct. | B: Upper airway obstruction. | C: Pleural inflammation. | D: May indicate pneumothorax.","crackles","Confusing upper airway sounds.","Know sound associations.","pass"
"Patient Assessment","patient-assessment","Immediate assessment priority","hard","decision-making","high","A patient presents with severe dyspnea, audible stridor, and retractions. What is the immediate priority?","Assess airway patency","Draw ABG","Administer diuretic","Start incentive spirometry","A","Stridor suggests upper airway obstruction requiring immediate airway assessment.","A: Correct priority. | B: Delays airway intervention. | C: Not indicated. | D: Unsafe.","stridor | retractions","Ordering tests before securing airway.","Airway first always.","pass"
"Patient Assessment","patient-assessment","Clubbing significance","medium","interpretation","moderate","Digital clubbing is most commonly associated with which condition?","Chronic hypoxemia","Acute asthma","Pneumothorax","Sedation","A","Chronic hypoxemia is linked to clubbing.","A: Correct association. | B: Not typical. | C: Acute process. | D: No relation.","clubbing","Confusing acute vs chronic.","Recognize chronic signs.","pass"
"Patient Assessment","patient-assessment","Tachycardia interpretation","medium","interpretation","high","In acute hypoxemia, tachycardia most directly reflects what physiologic response?","Compensatory increase in cardiac output","Sedation effect","Primary arrhythmia","Reduced oxygen demand","A","Heart rate increases to augment oxygen delivery.","A: Correct mechanism. | B: Opposite effect. | C: No arrhythmia data. | D: Incorrect physiology.","tachycardia | hypoxemia","Ignoring compensatory responses.","Understand compensation.","pass"
"Patient Assessment","patient-assessment","Orthopnea evaluation","medium","interpretation","moderate","A patient reports dyspnea when lying flat that improves sitting upright. This is most consistent with what?","Orthopnea from heart failure","Acute asthma","Pulmonary embolism","Sedation effect","A","Orthopnea is classically associated with heart failure.","A: Correct. | B: Asthma not positional. | C: Not typical. | D: No sedation data.","dyspnea lying flat","Missing positional clues.","Symptoms timing matters.","pass"
"Patient Assessment","patient-assessment","Early shock sign","hard","decision-making","high","A hypoxemic patient develops cool clammy skin, tachycardia, and hypotension. What does this suggest?","Developing shock","Stable condition","Improving oxygenation","Sedation side effect","A","Signs indicate possible circulatory compromise.","A: Correct critical recognition. | B: Not stable. | C: No improvement evidence. | D: No sedation given.","cool clammy | hypotension","Ignoring perfusion signs.","Oxygenation and perfusion are linked.","pass"
