category,category_slug,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Infection Control & Safety","infection-control-safety","Airborne isolation indications","medium","recall","high","A patient is admitted with suspected active pulmonary tuberculosis. Which isolation precaution is required?","Airborne isolation in negative pressure room","Droplet precautions only","Contact precautions only","Standard precautions only","A","Tuberculosis is transmitted via airborne droplet nuclei and requires a negative pressure airborne isolation room.","A: Correct because TB spreads through airborne particles. | B: Droplet precautions are insufficient for TB. | C: Contact precautions do not prevent airborne spread. | D: Standard precautions alone are inadequate.","tuberculosis | airborne","Confusing droplet vs airborne transmission.","Match organism to transmission route.","pass"
"Infection Control & Safety","infection-control-safety","N95 respirator requirement","medium","decision-making","high","Before entering a room of a patient with suspected measles, what respiratory protection is required?","Fit-tested N95 respirator","Simple surgical mask","Face shield only","No protection if vaccinated","A","Measles is highly contagious via airborne transmission and requires N95-level protection.","A: Correct airborne PPE. | B: Surgical mask does not provide adequate airborne filtration. | C: Face shield does not filter inhaled air. | D: Vaccination does not replace PPE requirements.","measles | airborne precaution","Assuming immunity replaces PPE.","Airborne diseases require respirator.","pass"
"Infection Control & Safety","infection-control-safety","Ventilator-associated pneumonia prevention","medium","decision-making","high","Which intervention is proven to reduce ventilator-associated pneumonia risk?","Head of bed elevation 30 to 45 degrees","Routine circuit changes every 24 hours","Daily chest radiographs","Prophylactic broad-spectrum antibiotics","A","Elevating the head of bed reduces aspiration risk and VAP incidence.","A: Evidence-based VAP bundle component. | B: Frequent circuit changes increase contamination risk. | C: Imaging does not prevent infection. | D: Routine prophylaxis promotes resistance.","ventilated patient | prevention","Overusing antibiotics for prevention.","Use VAP bundle measures.","pass"
"Infection Control & Safety","infection-control-safety","Sterilization vs disinfection","medium","interpretation","moderate","Which method completely eliminates all microorganisms including spores?","Sterilization","High-level disinfection","Intermediate disinfection","Surface wiping with alcohol","A","Sterilization destroys all microbial life including bacterial spores.","A: Correct definition. | B-C: Do not reliably destroy spores. | D: Not sufficient for sterilization.","including spores","Confusing high-level disinfection with sterilization.","Know hierarchy of infection control methods.","pass"
"Infection Control & Safety","infection-control-safety","Needlestick injury response","hard","decision-making","high","A respiratory therapist experiences a needlestick injury from a patient with unknown HIV status. What is the most appropriate immediate action?","Wash area and report exposure immediately","Wait for patient lab results","Apply tight tourniquet","Ignore if no bleeding","A","Immediate washing and prompt reporting allow rapid evaluation for post-exposure prophylaxis.","A: Correct first step. | B: Delays care. | C: Tourniquet is not recommended. | D: Reporting is mandatory.","needlestick | immediate action","Delaying reporting.","Time-sensitive prophylaxis.","pass"
"Infection Control & Safety","infection-control-safety","Droplet precautions indication","medium","recall","moderate","A patient with confirmed influenza requires which type of precaution?","Droplet precautions","Airborne precautions","Contact precautions only","Reverse isolation","A","Influenza spreads primarily through respiratory droplets.","A: Correct transmission-based precaution. | B: Airborne reserved for TB, measles, etc. | C: Contact alone insufficient. | D: Reverse isolation protects immunocompromised patient.","influenza","Misclassifying flu as airborne.","Match organism to transmission type.","pass"
"Infection Control & Safety","infection-control-safety","HEPA filtration purpose","hard","interpretation","moderate","What is the primary function of a HEPA filter in a hospital ventilation system?","Remove airborne particles including pathogens","Increase oxygen concentration","Humidify inspired gas","Deliver positive pressure ventilation","A","HEPA filters trap small airborne particles including bacteria and viruses.","A: Correct filtration purpose. | B-D: Not filtration functions.","HEPA filter","Confusing ventilation with filtration.","Understand environmental infection control.","pass"
"Infection Control & Safety","infection-control-safety","Hand hygiene priority","medium","decision-making","high","When is hand hygiene most critical during patient care?","Before and after patient contact","Only after visible contamination","After removing gloves only","At end of shift","A","Hand hygiene before and after contact reduces healthcare-associated infections.","A: Correct WHO standard. | B: Even if not visibly soiled, hygiene is required. | C: Gloves do not replace hand hygiene. | D: Too infrequent.","before and after","Thinking gloves replace washing.","Hand hygiene is universal prevention.","pass"
"Infection Control & Safety","infection-control-safety","Negative pressure room purpose","hard","interpretation","moderate","What is the purpose of a negative pressure isolation room?","Prevent contaminated air from escaping the room","Increase oxygen delivery","Improve patient comfort","Prevent surface contamination only","A","Negative pressure ensures air flows into the room and prevents airborne pathogens from spreading outside.","A: Correct airflow principle. | B-D: Not the purpose.","negative pressure","Confusing airflow direction.","Air flows into room, not out.","pass"
"Infection Control & Safety","infection-control-safety","Sharps disposal safety","medium","recall","moderate","Used needles should be disposed of in which manner?","Immediately in approved sharps container without recapping","Recapped and placed in regular trash","Placed on bedside table temporarily","Bent before disposal","A","Immediate disposal in puncture-resistant sharps container prevents accidental injury.","A: Correct OSHA practice. | B-D: Unsafe practices increase injury risk.","sharps container","Recapping needle.","Follow OSHA sharps protocol.","pass"
