category,category_slug,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Airway Management","airway-management","Cuff leak assessment","medium","decision-making","moderate","Before planned extubation, a cuff leak test shows minimal air movement around the endotracheal tube when the cuff is deflated. What is the greatest concern?","Upper airway edema leading to post-extubation obstruction","Bronchospasm","Auto-PEEP","Low lung compliance","A","Minimal cuff leak suggests potential airway edema and risk of post-extubation stridor.","A: Correct because cuff leak predicts upper airway patency. | B: Bronchospasm affects lower airways. | C: Auto-PEEP relates to expiratory trapping. | D: Compliance does not affect cuff leak.","minimal cuff leak | extubation planning","Ignoring cuff leak before extubation.","Assess upper airway patency before tube removal.","pass"
"Airway Management","airway-management","Peak vs plateau pressure differentiation","medium","interpretation","high","A ventilated patient has rising peak inspiratory pressure while plateau pressure remains unchanged. What is the most likely cause?","Increased airway resistance","Decreased lung compliance","Pneumothorax","Pulmonary edema","A","If plateau pressure is unchanged, compliance is stable. Rising peak pressure indicates increased airway resistance.","A: Correct because resistance affects peak but not plateau. | B: Compliance changes elevate plateau pressure. | C: Pneumothorax typically raises plateau as well. | D: Pulmonary edema reduces compliance.","rising peak | normal plateau","Confusing resistance with compliance.","Differentiate peak vs plateau changes.","pass"
"Airway Management","airway-management","Airway pressure alarm troubleshooting","hard","decision-making","high","A high-pressure alarm sounds during mechanical ventilation. The patient is agitated and biting the tube. What should be done first?","Insert bite block and assess tube patency","Increase tidal volume","Silence alarm and continue","Decrease FiO2","A","Biting the tube increases airway resistance and pressure. Address mechanical cause first.","A: Correct because obstruction must be relieved. | B: Increasing volume worsens pressure. | C: Silencing alarm ignores danger. | D: FiO2 unrelated to high pressure alarm.","high pressure alarm | biting tube","Adjusting ventilator instead of fixing obstruction.","Always assess patient and airway first.","pass"
"Airway Management","airway-management","Difficult airway predictor","medium","recall","moderate","Which finding is a known predictor of difficult laryngoscopy?","Mallampati class IV","Tachycardia","Mild hypoxemia","Normal neck mobility","A","Higher Mallampati classes correlate with difficult visualization of the glottis.","A: Correct anatomical predictor. | B: Tachycardia unrelated. | C: Hypoxemia not structural predictor. | D: Normal mobility suggests easier intubation.","Mallampati IV","Ignoring airway exam predictors.","Recognize structural risk factors.","pass"
"Airway Management","airway-management","Air trapping hemodynamic effect","hard","interpretation","high","A COPD patient on ventilation develops sudden hypotension and rising auto-PEEP. What is the primary mechanism causing hypotension?","Reduced venous return from increased intrathoracic pressure","Myocardial infarction","Systemic vasodilation","Pulmonary embolism","A","Intrinsic PEEP increases intrathoracic pressure, decreasing preload and cardiac output.","A: Correct because air trapping impairs venous return. | B: No MI evidence given. | C: Vasodilation unrelated. | D: PE not suggested by scenario.","auto-PEEP | hypotension","Missing preload effect of high intrathoracic pressure.","Link ventilator mechanics to hemodynamics.","pass"
"Airway Management","airway-management","Subglottic stenosis recognition","medium","interpretation","moderate","A patient with prior prolonged intubation presents with inspiratory stridor and normal chest radiograph. What is the most likely cause?","Subglottic stenosis","Pulmonary edema","Pleural effusion","Bronchiectasis","A","Prolonged intubation can cause scarring and narrowing of the subglottic airway.","A: Correct because stridor suggests upper airway narrowing. | B: Edema affects alveoli. | C: Effusion affects pleural space. | D: Bronchiectasis affects lower airways.","stridor | prior intubation","Attributing stridor to lung disease.","Upper airway noise = think obstruction above carina.","pass"
"Airway Management","airway-management","PEEP effect on oxygenation","medium","decision-making","high","Which mechanism explains improved oxygenation after increasing PEEP?","Alveolar recruitment and reduced shunt","Increased respiratory rate","Higher hemoglobin concentration","Reduced airway resistance","A","PEEP prevents alveolar collapse and improves ventilation-perfusion matching.","A: Correct because recruitment improves oxygenation. | B: Rate affects ventilation not oxygenation directly. | C: Hemoglobin unchanged. | D: Resistance not primary oxygenation lever.","increase PEEP | improved oxygenation","Confusing ventilation changes with oxygenation.","PEEP recruits alveoli and reduces shunt.","pass"
"Airway Management","airway-management","Upper airway obstruction sound","medium","interpretation","moderate","A harsh high-pitched sound during inspiration is heard over the neck. What is this called?","Stridor","Wheezing","Crackles","Pleural rub","A","Stridor is a high-pitched inspiratory sound caused by upper airway obstruction.","A: Correct upper airway sound. | B: Wheeze is expiratory lower airway sound. | C: Crackles occur in alveoli. | D: Pleural rub relates to pleural inflammation.","high-pitched inspiratory sound","Confusing wheeze with stridor.","Location and timing determine sound.","pass"
"Airway Management","airway-management","Airway fire prevention","hard","recall","moderate","During airway laser surgery, which action reduces risk of airway fire?","Use lowest possible FiO2","Increase nitrous oxide","Apply petroleum-based lubricant","Increase oxygen flow","A","High oxygen concentrations increase combustion risk during airway procedures.","A: Correct because lower FiO2 reduces fire risk. | B: Nitrous supports combustion. | C: Petroleum increases fire risk. | D: Higher oxygen increases hazard.","laser airway | FiO2","Ignoring oxygen fire risk.","Minimize oxidizer during airway procedures.","pass"
"Airway Management","airway-management","Ventilator disconnect alarm","medium","decision-making","high","A low-pressure alarm sounds and the ventilator shows no delivered tidal volume. What is the most likely cause?","Circuit disconnection","Bronchospasm","Pulmonary edema","High PEEP setting","A","Low pressure alarms commonly indicate disconnection or leak in the circuit.","A: Correct because circuit break reduces pressure. | B: Bronchospasm raises pressure. | C: Edema raises pressures. | D: High PEEP increases pressure.","low pressure alarm | no tidal volume","Confusing high vs low pressure alarms.","Low pressure = leak or disconnect.","pass"
