category,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Oxygenation","P/F ratio severity classification","medium","interpretation","high","An intubated patient on FiO2 0.80 has PaO2 64 mm Hg. Which best describes oxygenation severity based on the PaO2/FiO2 ratio?","Normal oxygenation","Mild ARDS range","Moderate ARDS range","Severe ARDS range","D","PaO2/FiO2 = 64/0.80 = 80, which falls in the severe ARDS range (<100).","A: A normal P/F is typically >300. | B: Mild ARDS is 200 to 300. | C: Moderate ARDS is 100 to 200. | D: Correct because P/F <100 is severe.","FiO2 0.80 | PaO2 64 | P/F ratio","Forgetting to convert FiO2 to a decimal and misclassifying severity.","Compute P/F first; then map to ARDS severity cutoffs.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Oxygenation","Alveolar gas equation at altitude","hard","interpretation","moderate","A patient at high altitude has normal lungs but develops hypoxemia. Which change most directly lowers alveolar oxygen pressure and explains the hypoxemia?","Increased barometric pressure increases inspired oxygen","Decreased barometric pressure reduces inspired oxygen partial pressure","Increased hemoglobin affinity prevents oxygen loading in alveoli","Reduced dead space ventilation lowers PAO2","B","At altitude, barometric pressure falls, lowering inspired oxygen partial pressure and therefore PAO2, even with normal lungs.","A: Barometric pressure decreases at altitude, not increases. | B: Correct because lower PB lowers inspired PO2 and PAO2. | C: Affinity changes do not reduce inspired oxygen pressure. | D: Dead space affects CO2 elimination more than the primary altitude PAO2 reduction.","high altitude | normal lungs | PAO2","Blaming diffusion limitation when the primary issue is lower inspired PO2.","Use the alveolar gas concept: PAO2 falls when barometric pressure falls.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Oxygenation","Refractory hypoxemia from right-to-left shunt","hard","interpretation","high","A patient with lobar pneumonia has PaO2 52 mm Hg on FiO2 0.60 and PaO2 55 mm Hg on FiO2 1.00. PaCO2 is 40 mm Hg. Which is the most likely explanation?","Right-to-left intrapulmonary shunt","Pure hypoventilation","Anxiety-related hyperventilation","Low cardiac output causing diffusion limitation","A","Minimal PaO2 improvement despite large FiO2 increase is classic for shunt physiology from non-ventilated but perfused alveoli.","A: Correct because shunt is poorly responsive to FiO2 increases. | B: Hypoventilation usually improves with FiO2 and often raises PaCO2. | C: Hyperventilation lowers PaCO2 and does not cause this pattern. | D: Low CO can worsen delivery but does not create this FiO2 response pattern.","FiO2 1.00 | minimal PaO2 change | pneumonia","Calling every hypoxemia case VQ mismatch without checking FiO2 responsiveness.","Use response-to-FiO2: poor response suggests shunt.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Oxygenation","VQ mismatch responds to oxygen","medium","interpretation","high","A patient with acute asthma has PaO2 60 mm Hg on FiO2 0.30 that improves to PaO2 95 mm Hg on FiO2 0.50. PaCO2 is 32 mm Hg. Which mechanism best fits?","VQ mismatch","Large fixed shunt","Pure diffusion limitation only","Pure hypoventilation","A","A significant PaO2 rise with moderate FiO2 increase strongly supports VQ mismatch rather than shunt.","A: Correct because VQ mismatch is oxygen responsive. | B: Large shunt shows minimal improvement with higher FiO2. | C: Isolated diffusion limitation typically improves with oxygen but the clinical pattern here matches VQ mismatch. | D: Hypoventilation would usually increase PaCO2 and also improves with FiO2.","improves with FiO2 | asthma | PaCO2 32","Labeling oxygen-responsive hypoxemia as shunt.","Differentiate causes of hypoxemia by oxygen responsiveness and PaCO2 trend.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Oxygenation","Atelectasis management: CPAP vs oxygen alone","medium","decision-making","high","A postoperative patient is tachypneic with SpO2 88 percent on 6 L/min nasal cannula. Breath sounds are diminished at bases and chest x-ray suggests atelectasis. Hemodynamics are stable and airway is protected. Best next step to improve oxygenation?","Increase FiO2 only using a nonrebreather mask","Start CPAP to recruit alveoli","Give IV furosemide","Lower FiO2 to reduce absorption atelectasis","B","Atelectasis is primarily a recruitment problem; CPAP provides distending pressure to reopen alveoli and improve oxygenation.","A: Higher FiO2 may help but does not address recruitment as directly as CPAP. | B: Correct because CPAP recruits atelectatic lung units. | C: No evidence of cardiogenic edema is provided. | D: Lowering FiO2 would worsen current hypoxemia.","postop | atelectasis | recruit","Chasing FiO2 when the real fix is recruitment pressure.","Match therapy to mechanism: recruitment problems need distending pressure.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Oxygenation","ARDS oxygenation lever: PEEP before breaking lung protection","hard","decision-making","high","A patient with diffuse infiltrates is on VT 6 mL/kg PBW, FiO2 0.70, PEEP 6 cm H2O. ABG shows PaO2 54 mm Hg and PaCO2 40 mm Hg. What is the best next ventilator adjustment for oxygenation?","Increase VT to 9 mL/kg PBW","Increase PEEP","Decrease respiratory rate","Decrease FiO2 to 0.50","B","Ventilation is adequate and oxygenation is poor; increasing PEEP improves recruitment and oxygenation while maintaining lung-protective VT.","A: Higher VT increases ventilator-induced lung injury risk. | B: Correct because PEEP is the primary oxygenation lever in diffuse alveolar disease. | C: Rate affects CO2 removal more than oxygenation. | D: Lowering FiO2 would likely worsen hypoxemia.","PaCO2 40 | oxygenation problem | PEEP low","Increasing VT to chase oxygenation.","Keep lung-protective VT; use PEEP to recruit and improve oxygenation.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Oxygenation","Hyperoxia recognition and next action","medium","decision-making","moderate","An intubated patient is on FiO2 1.00 with ABG showing PaO2 290 mm Hg and PaCO2 38 mm Hg. Hemodynamics are stable. What is the most appropriate next step?","Maintain FiO2 1.00 to maximize oxygen reserves","Wean FiO2 to the lowest level that maintains adequate oxygenation","Increase PEEP to 18 cm H2O immediately","Give sodium bicarbonate to lower PaO2","B","Once oxygenation is adequate, FiO2 should be reduced to minimize oxygen toxicity risk and avoid unnecessary hyperoxia.","A: Prolonged FiO2 1.00 increases oxygen toxicity risk without benefit when PaO2 is already high. | B: Correct because oxygen should be titrated to goal. | C: PEEP increase may be harmful without an oxygenation failure or recruitment need. | D: Bicarbonate does not treat hyperoxia.","FiO2 1.00 | PaO2 290 | stable","Leaving FiO2 at 1.00 after stabilization.","After rescue, titrate down FiO2 to goal to reduce harm.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Oxygenation","Diffusion limitation clue and oxygen response","hard","interpretation","moderate","A patient with interstitial lung disease has exertional dyspnea. On room air at rest PaO2 is 68 mm Hg and improves to 92 mm Hg with supplemental oxygen. Which mechanism is most consistent?","Diffusion limitation contributing to hypoxemia","Large fixed shunt","Pure hypoventilation","Measurement artifact from poor perfusion","A","Diffusion limitation often improves with supplemental oxygen because higher alveolar oxygen pressure drives diffusion across a thickened membrane.","A: Correct because increased PAO2 improves diffusion across a thickened barrier. | B: Large shunt typically shows minimal improvement with oxygen. | C: Hypoventilation would elevate PaCO2 more consistently. | D: No signal-quality issues are described.","ILD | improves with oxygen | diffusion","Assuming poor oxygen response rules in all ILD cases; many improve with oxygen.","Look at oxygen responsiveness and clinical context to infer diffusion contribution.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Oxygenation","Oxygen content vs saturation trap in anemia","hard","decision-making","high","A patient has SaO2 99 percent and PaO2 180 mm Hg on FiO2 0.50 but hemoglobin is 6.0 g/dL with signs of poor perfusion. What most directly improves oxygen delivery?","Increase FiO2 to 1.00","Transfuse packed red blood cells","Increase PEEP by 8 cm H2O","Decrease ventilator rate","B","Oxygen delivery depends largely on hemoglobin concentration; transfusion increases arterial oxygen content far more than further raising PaO2.","A: Dissolved oxygen increase is small relative to hemoglobin-bound oxygen deficit. | B: Correct because transfusion raises CaO2 and DO2. | C: PEEP does not correct low oxygen-carrying capacity and may worsen hemodynamics. | D: Rate changes do not address oxygen content.","Hb 6.0 | SaO2 99 | delivery","Equating high PaO2 with adequate oxygen delivery.","Distinguish oxygenation from oxygen content; treat the limiting variable.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Oxygenation","Acute desaturation on ventilator: DOPE framework priority","hard","decision-making","high","A ventilated patient suddenly desaturates to SpO2 78 percent and peak pressures rise sharply. Breath sounds are markedly decreased on the right. Blood pressure is falling. What is the best immediate action?","Order portable chest x-ray first","Give a bronchodilator and wait","Perform immediate needle decompression on the right","Decrease PEEP to reduce barotrauma risk","C","This presentation is most consistent with tension pneumothorax; immediate decompression is lifesaving and should not wait for imaging.","A: Imaging delays definitive treatment in an unstable patient. | B: Bronchospasm does not explain hypotension with unilateral absent breath sounds and rising pressures. | C: Correct because tension pneumothorax requires immediate decompression. | D: Lowering PEEP does not immediately relieve a tension pneumothorax.","sudden desat | rising peak pressure | hypotension | unilateral breath sounds","Delaying treatment to confirm diagnosis.","In unstable suspected tension pneumothorax, treat first and confirm later.","single best answer: yes; physiology accurate: yes; no repeat: yes"
