category,category_slug,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Pharmacology","pharmacology","Anticholinergic bronchodilator use in COPD","medium","decision-making","high","A 70-year-old with COPD exacerbation has persistent wheezing after repeated albuterol treatments. He is tachycardic and tremulous. Which medication is the best next bronchodilator to add?","Ipratropium bromide","Fluticasone inhaler","Montelukast","Furosemide","A","Adding an inhaled anticholinergic provides additional bronchodilation via a different mechanism and is standard in COPD exacerbations.","A: Correct because anticholinergics provide additive bronchodilation and do not worsen beta-agonist tremor or tachycardia. | B: Inhaled steroids are controller therapy and do not provide rapid bronchodilation. | C: Leukotriene modifiers are not first-line acute bronchodilators. | D: Diuretics treat fluid overload not bronchospasm.","COPD exacerbation | tremor tachycardia | add bronchodilator","Switching to a controller medication during an acute problem.","Use a different bronchodilator class when beta-agonist side effects limit further dosing.","pass"
"Pharmacology","pharmacology","Inhaled corticosteroid adverse effect prevention","medium","recall","moderate","A patient started on an inhaled corticosteroid for persistent asthma returns with hoarseness and white plaques in the mouth. What instruction best prevents this complication?","Rinse mouth and spit after each dose","Increase dose frequency for better control","Use only during acute attacks","Stop all bronchodilators","A","Oropharyngeal candidiasis and dysphonia are common ICS effects and are reduced by rinsing and using proper technique.","A: Correct because rinsing reduces local steroid deposition and thrush risk. | B: Increasing exposure worsens risk. | C: ICS is maintenance therapy not rescue-only. | D: Bronchodilators are not the cause of thrush.","ICS | thrush hoarseness | prevention","Treating ICS like a rescue med instead of maintenance.","Prevent predictable adverse effects with technique and hygiene rather than stopping effective control therapy.","pass"
"Pharmacology","pharmacology","Systemic steroids timing in acute asthma","medium","decision-making","high","A patient with moderate asthma exacerbation improves after inhaled bronchodilators but still has reduced air movement. Which medication should be given early to reduce relapse and speed recovery?","Systemic corticosteroid","Antibiotic","Mucolytic","Long-acting beta agonist only","A","Early systemic steroids decrease airway inflammation and reduce admission and relapse in asthma exacerbations.","A: Correct because steroids address inflammation and reduce late deterioration. | B: Antibiotics are not routine unless bacterial infection is likely. | C: Mucolytics are not standard acute asthma therapy. | D: LABA alone is not appropriate for acute exacerbation management.","asthma exacerbation | reduce relapse | early medication","Delaying steroids because bronchodilator improved symptoms.","Treat both bronchospasm and inflammation in acute asthma to prevent rebound worsening.","pass"
"Pharmacology","pharmacology","Magnesium sulfate indication in severe asthma","hard","decision-making","moderate","A patient with severe asthma remains dyspneic after multiple bronchodilator treatments and systemic steroids. Peak flow remains very low and accessory muscle use persists. Which adjunct may provide additional bronchodilation now?","IV magnesium sulfate","Oral antihistamine","Inhaled corticosteroid only","Dextromethorphan","A","IV magnesium can produce smooth muscle relaxation and is used as an adjunct in severe refractory asthma.","A: Correct because magnesium may improve airflow in severe asthma not responding to standard therapy. | B: Antihistamines do not treat acute bronchospasm. | C: Inhaled steroids are not fast enough alone for this severity. | D: Cough suppressants do not address airflow obstruction.","severe asthma | refractory to bronchodilators | magnesium","Adding non-bronchodilator meds while the patient is still in severe obstruction.","When standard bronchodilators fail in severe asthma consider evidence-based adjuncts rather than unrelated therapies.","pass"
"Pharmacology","pharmacology","Epinephrine use in anaphylaxis with bronchospasm","hard","decision-making","high","A patient develops sudden wheezing, hypotension, and urticaria after receiving an antibiotic. SpO2 is falling despite oxygen. What is the most appropriate immediate medication?","IM epinephrine","Nebulized ipratropium","Inhaled corticosteroid","Oral prednisone only","A","This is anaphylaxis with airway involvement and shock physiology. IM epinephrine is first-line and time-critical.","A: Correct because epinephrine treats bronchospasm and supports blood pressure in anaphylaxis. | B: Bronchodilator alone does not treat shock or systemic reaction. | C: Not immediate first-line for anaphylaxis. | D: Oral steroids are delayed onset and not first-line in shock.","urticaria hypotension | sudden wheeze | immediate med","Treating anaphylaxis like isolated asthma.","Recognize systemic allergic reaction and treat with epinephrine immediately before secondary meds.","pass"
"Pharmacology","pharmacology","Theophylline toxicity recognition","hard","interpretation","moderate","A patient taking theophylline presents with nausea, vomiting, tremor, and tachyarrhythmia. Which finding most strongly supports the diagnosis of theophylline toxicity?","New supraventricular tachycardia with GI symptoms","Low end-tidal CO2 alone","Hyperkalemia with bradycardia","Mild sore throat and fever","A","Theophylline toxicity commonly causes GI symptoms and tachyarrhythmias due to CNS and cardiac stimulation.","A: Correct because GI upset plus tachyarrhythmia is classic for theophylline toxicity. | B: Low ETCO2 alone is nonspecific. | C: This pattern suggests other etiologies. | D: Viral symptoms do not explain arrhythmia and tremor.","theophylline | GI symptoms | tachyarrhythmia","Attributing stimulant toxicity to anxiety or infection.","Use symptom clusters to identify medication toxicity patterns quickly.","pass"
"Pharmacology","pharmacology","Naloxone for opioid-induced hypoventilation","medium","decision-making","high","A postoperative patient is somnolent with shallow respirations after receiving opioids. RR is 6 per minute and ETCO2 is rising. What medication is most appropriate to reverse the cause?","Naloxone","Flumazenil","Albuterol","Furosemide","A","Opioid-induced respiratory depression is reversed with naloxone which antagonizes opioid receptors.","A: Correct because naloxone reverses opioid respiratory depression. | B: Flumazenil reverses benzodiazepines not opioids. | C: Bronchodilator does not address hypoventilation from CNS depression. | D: Diuretic is unrelated.","opioid | RR 6 | ETCO2 rising","Treating hypoventilation like bronchospasm.","Match reversal agent to the sedative class causing ventilatory depression.","pass"
"Pharmacology","pharmacology","Roflumilast indication in COPD","medium","recall","moderate","Which patient is the best candidate for roflumilast therapy?","Severe COPD with chronic bronchitis and frequent exacerbations","Intermittent asthma with exercise symptoms","Acute pulmonary edema","Simple viral upper respiratory infection","A","Roflumilast is a PDE4 inhibitor used to reduce exacerbations in severe COPD with chronic bronchitis phenotype.","A: Correct because it targets inflammation and reduces COPD exacerbation risk in chronic bronchitis. | B: Not indicated for intermittent asthma control. | C: Treat pulmonary edema with diuretics and afterload strategies. | D: Not used for viral URIs.","roflumilast | chronic bronchitis | frequent exacerbations","Using COPD add-on meds for asthma rescue needs.","Know phenotype-specific COPD pharmacology and its goal of reducing exacerbations.","pass"
"Pharmacology","pharmacology","Inhaled beta-agonist side effect prioritization","medium","decision-making","moderate","After multiple high-dose inhaled beta-agonist treatments a patient reports palpitations and has fine tremor. Which explanation best describes the cause?","Beta receptor stimulation causing sympathetic effects","Histamine release from the medication","Direct suppression of the respiratory center","Increased mucus viscosity","A","Beta agonists can cause tremor and tachycardia due to beta receptor stimulation and some beta-1 spillover at high doses.","A: Correct because sympathetic stimulation explains tremor and palpitations. | B: This is not typical for inhaled beta agonists. | C: Beta agonists do not suppress respiratory drive. | D: They do not increase mucus viscosity as a primary effect.","beta agonist | tremor palpitations | high dose","Mistaking expected side effects for allergy.","Recognize common predictable beta agonist side effects and avoid misclassification as allergic reaction.","pass"
"Pharmacology","pharmacology","Antibiotics in acute bronchitis decision","medium","decision-making","high","A healthy 28-year-old has 5 days of cough and sputum after a viral URI. Afebrile and lungs are clear. SpO2 is normal. What is the best medication plan?","No antibiotics and provide symptomatic care","Start broad-spectrum antibiotics","Start systemic steroids immediately","Start chronic inhaled corticosteroid","A","Acute uncomplicated bronchitis is usually viral and does not benefit from antibiotics. Supportive care is appropriate.","A: Correct because antibiotics do not improve outcomes in typical viral bronchitis. | B: Unnecessary antibiotics increase resistance and adverse effects. | C: Steroids are not routine in uncomplicated viral bronchitis. | D: ICS is not indicated without chronic airway disease.","viral URI | afebrile | clear lungs","Overtreating viral bronchitis with antibiotics.","Use clinical features to avoid unnecessary antibiotics and focus on supportive management.","pass"
