category,category_slug,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Infection Control & Safety","infection-control-safety","Positive pressure room indication","medium","decision-making","high","A patient with severe neutropenia following chemotherapy is admitted for protective isolation. Which room type is most appropriate?","Positive pressure room","Negative pressure room","Standard private room without airflow control","Shared semi-private room","A","Immunocompromised patients require positive pressure rooms to prevent contaminated air from entering.","A: Correct because positive pressure protects the patient. | B: Negative pressure protects others from the patient. | C-D: Do not provide adequate airborne protection.","neutropenia | protective isolation","Confusing protective isolation with airborne isolation.","Determine who needs protection: patient or staff.","pass"
"Infection Control & Safety","infection-control-safety","Contact precaution PPE sequence","hard","decision-making","high","Before entering the room of a patient with Clostridioides difficile infection, which PPE combination is required?","Gloves and gown","N95 respirator only","Surgical mask only","Face shield only","A","C. difficile requires contact precautions including gloves and gown upon room entry.","A: Correct contact PPE. | B-C-D: Do not address contact transmission.","C. difficile | contact precautions","Using airborne PPE for contact-only organism.","Match organism transmission type to PPE.","pass"
"Infection Control & Safety","infection-control-safety","Alcohol hand sanitizer limitation","medium","interpretation","moderate","Why is alcohol-based hand sanitizer not sufficient alone for C. difficile exposure?","It does not reliably kill spores","It increases transmission","It causes skin irritation","It reduces glove effectiveness","A","C. difficile forms spores that are resistant to alcohol-based hand rubs.","A: Correct spore resistance. | B-C-D: Not primary reason.","spore-forming organism","Assuming sanitizer covers all pathogens.","Spore-forming pathogens require soap and water.","pass"
"Infection Control & Safety","infection-control-safety","Aerosol-generating procedures","hard","decision-making","high","Which procedure requires airborne-level protection due to aerosol generation risk?","Open suctioning of an intubated patient","Administering oral medication","Applying ECG electrodes","Measuring blood pressure","A","Open suctioning generates aerosols and requires respirator protection.","A: Correct aerosol risk. | B-C-D: Do not generate airborne particles.","aerosol generation","Underestimating suction aerosol risk.","Identify aerosol-generating procedures.","pass"
"Infection Control & Safety","infection-control-safety","Isolation discontinuation criteria","hard","decision-making","moderate","A patient with influenza has been afebrile for 48 hours and symptoms are improving. When can droplet precautions typically be discontinued?","Per facility policy after symptom resolution and recommended duration","Immediately after fever resolves","After one negative nasal swab","Only after discharge","A","Droplet precautions are discontinued based on institutional policy and clinical course.","A: Correct because policy and timing matter. | B: Too early. | C: Not required in all cases. | D: Isolation not required until discharge necessarily.","droplet precautions | influenza","Ending precautions prematurely.","Follow policy and clinical guidance.","pass"
"Infection Control & Safety","infection-control-safety","PPE removal sequence","hard","interpretation","high","What is the correct general sequence for removing PPE to minimize contamination?","Gloves first, then gown, then mask or respirator last","Mask first, then gloves, then gown","Gown first, then mask, then gloves","Any order is acceptable","A","Gloves are most contaminated and removed first, with mask or respirator removed last.","A: Correct contamination control sequence. | B-C: Increase contamination risk. | D: Order matters for safety.","PPE removal order","Removing respirator too early.","Remove most contaminated items first.","pass"
"Infection Control & Safety","infection-control-safety","Environmental cleaning priority","medium","decision-making","moderate","Which surface requires highest cleaning priority in a patient room?","Frequently touched high-contact surfaces","Ceiling tiles","Window blinds","Baseboards","A","High-touch surfaces contribute most to pathogen transmission.","A: Correct infection control focus. | B-D: Lower transmission risk.","high-touch surfaces","Focusing on visually dirty but low-risk areas.","Prioritize transmission risk surfaces.","pass"
"Infection Control & Safety","infection-control-safety","Exposure reporting chain","medium","decision-making","high","After a significant occupational exposure to blood, what should occur immediately after washing the site?","Report to supervisor and occupational health","Finish the shift before reporting","Wait for symptoms to appear","Document only in personal notes","A","Prompt reporting allows evaluation and potential prophylaxis.","A: Correct proper chain of reporting. | B-D: Delay care and evaluation.","occupational exposure","Delaying reporting.","Early evaluation reduces risk.","pass"
"Infection Control & Safety","infection-control-safety","Fit testing requirement","medium","recall","moderate","Why is annual fit testing required for N95 respirators?","To ensure proper seal and protection","To improve oxygen delivery","To reduce breathing resistance","To replace surgical masks","A","Fit testing ensures the respirator forms an adequate seal.","A: Correct safety purpose. | B-C-D: Not primary reason.","fit testing","Assuming one-time fit is permanent.","Seal integrity is critical for airborne protection.","pass"
"Infection Control & Safety","infection-control-safety","Standard vs transmission-based precautions","hard","interpretation","high","A patient has uncontrolled diarrhea of unknown cause. Which precaution level is appropriate while awaiting diagnosis?","Contact precautions in addition to standard precautions","Airborne precautions only","Droplet precautions only","No precautions beyond standard","A","Uncontrolled diarrhea poses contact transmission risk; contact precautions are appropriate until clarified.","A: Correct interim safety measure. | B-C: Not indicated without airborne or droplet suspicion. | D: Insufficient given symptoms.","unknown diarrhea | interim precautions","Waiting for confirmed diagnosis before protecting others.","When in doubt, escalate to likely transmission category.","pass"
