category,category_slug,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Infection Control & Safety","infection-control-safety","Airborne isolation indication","medium","recall","high","A patient is suspected of having active pulmonary tuberculosis. Which isolation precaution is required?","Airborne isolation in a negative pressure room","Contact precautions only","Droplet precautions only","Standard precautions only","A","Tuberculosis is transmitted via airborne particles and requires airborne isolation in a negative pressure room.","A: Correct airborne isolation. | B-C: Insufficient for airborne pathogens. | D: Standard precautions alone are not adequate.","tuberculosis | airborne","Confusing droplet with airborne pathogens.","Match transmission type to required isolation level.","pass"
"Infection Control & Safety","infection-control-safety","Negative pressure purpose","medium","interpretation","moderate","What is the primary purpose of a negative pressure isolation room?","Prevent contaminated air from escaping the room","Protect immunocompromised patients from outside air","Increase oxygen delivery","Improve patient comfort","A","Negative pressure rooms protect staff and others by preventing contaminated air from flowing out of the room.","A: Correct containment function. | B: Describes positive pressure rooms. | C-D: Not primary airflow goals.","negative pressure","Confusing negative with positive pressure.","Determine who is being protected: others or patient.","pass"
"Infection Control & Safety","infection-control-safety","N95 respirator indication","medium","decision-making","high","A respiratory therapist is performing bronchoscopy on a patient with suspected airborne infection. What respiratory protection is required?","N95 respirator or higher","Surgical mask only","Face shield only","No protection required","A","Bronchoscopy is an aerosol-generating procedure and requires airborne-level protection.","A: Correct airborne PPE. | B: Surgical mask insufficient for aerosols. | C: Eye protection alone inadequate. | D: Unsafe.","aerosol-generating procedure","Using surgical mask for airborne risk.","Aerosol procedures require respirator-level protection.","pass"
"Infection Control & Safety","infection-control-safety","Standard precautions concept","medium","interpretation","moderate","What is the foundational principle of standard precautions?","Treat all blood and body fluids as potentially infectious","Apply only when infection is confirmed","Use gloves only when visible blood is present","Reserve precautions for ICU patients","A","Standard precautions assume all blood and certain body fluids may be infectious.","A: Correct core concept. | B-D: Misrepresent universal application.","standard precautions","Applying precautions only after confirmation.","Universal approach reduces transmission risk.","pass"
"Infection Control & Safety","infection-control-safety","Sharps injury response","hard","decision-making","high","A healthcare worker sustains a needlestick injury from a used needle. What is the immediate first action?","Wash the area with soap and water","Apply bleach to the wound","Squeeze the wound aggressively","Ignore if the patient appears healthy","A","Immediate washing reduces contamination risk before reporting and evaluation.","A: Correct immediate response. | B: Harsh chemicals damage tissue. | C: Aggressive squeezing not recommended. | D: Always report exposure.","needlestick injury","Using harsh chemicals on wound.","Immediate cleansing followed by reporting.","pass"
"Infection Control & Safety","infection-control-safety","Disinfection vs sterilization","hard","interpretation","moderate","Which process completely eliminates all forms of microbial life including spores?","Sterilization","High-level disinfection","Low-level disinfection","Surface cleaning","A","Sterilization destroys all microbial life including spores.","A: Correct definition. | B: Does not reliably eliminate spores. | C-D: Lower levels of microbial reduction.","spores | eliminate all microbes","Confusing high-level disinfection with sterilization.","Know definitions precisely.","pass"
"Infection Control & Safety","infection-control-safety","Cough etiquette importance","easy","recall","moderate","Why is respiratory hygiene and cough etiquette emphasized in healthcare settings?","To reduce transmission of respiratory pathogens","To improve oxygenation","To reduce staff workload","To increase room airflow","A","Covering coughs and masking symptomatic patients reduces respiratory pathogen spread.","A: Correct infection control goal. | B-D: Not primary purpose.","cough etiquette","Ignoring source control.","Source control prevents spread.","pass"
"Infection Control & Safety","infection-control-safety","Glove use misconception","medium","interpretation","moderate","Which statement about glove use is correct?","Gloves do not replace hand hygiene","Gloves eliminate need for handwashing","Gloves can be worn between patients if not visibly soiled","Gloves are required only for surgery","A","Gloves are an adjunct and must be combined with hand hygiene.","A: Correct. | B-C-D: Unsafe practices.","glove use","Skipping hand hygiene after gloves.","Gloves are barrier, not substitute.","pass"
"Infection Control & Safety","infection-control-safety","Ventilator-associated pneumonia prevention","hard","decision-making","high","Which intervention reduces risk of ventilator-associated pneumonia?","Elevate head of bed 30 to 45 degrees","Keep patient flat at all times","Delay oral care","Avoid suctioning","A","Head-of-bed elevation reduces aspiration risk and VAP incidence.","A: Correct evidence-based intervention. | B: Increases aspiration risk. | C-D: Unsafe practices.","ventilator-associated pneumonia","Keeping ventilated patient flat.","Prevent aspiration to reduce VAP.","pass"
"Infection Control & Safety","infection-control-safety","Outbreak reporting responsibility","medium","decision-making","moderate","A cluster of unusual respiratory infections is identified on a unit. What is the most appropriate action?","Notify infection control department immediately","Wait for laboratory confirmation in all cases","Discuss only among unit staff","Post on social media to warn others","A","Early notification allows investigation and containment.","A: Correct reporting pathway. | B: Delay risks spread. | C: Insufficient response. | D: Violates confidentiality.","cluster of infections","Waiting for certainty before reporting.","Early reporting limits outbreaks.","pass"
