category,category_slug,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Airway Management","airway-management","Esophageal intubation recognition","hard","interpretation","high","Immediately after intubation, no waveform capnography is present, the abdomen is distended, and SpO2 is falling. What is the most likely problem?","Esophageal intubation","Right mainstem intubation","Bronchospasm","Tension pneumothorax","A","Absent CO2 waveform with abdominal distention strongly indicates esophageal intubation.","A: Correct because lack of CO2 confirms non-tracheal placement. | B: Mainstem intubation still produces CO2 waveform. | C: Bronchospasm does not eliminate CO2 waveform. | D: Pneumothorax does not abolish capnography immediately.","no waveform | abdominal distention | immediate post-intubation","Relying on breath sounds alone.","Capnography absence = remove tube immediately.","pass"
"Airway Management","airway-management","Right mainstem intubation signs","medium","interpretation","high","After intubation, breath sounds are diminished on the left side only. Capnography is present. What is the most likely cause?","Right mainstem bronchus intubation","Esophageal intubation","Pulmonary edema","Equipment failure","A","Right mainstem intubation causes unilateral breath sounds while capnography remains present.","A: Correct because tube likely advanced too far. | B: Esophageal intubation would show no CO2 waveform. | C: Pulmonary edema causes bilateral findings. | D: Equipment failure would not cause unilateral sounds.","unilateral breath sounds | CO2 present","Pulling tube completely instead of adjusting depth.","If CO2 present + unilateral sounds = pull back slightly.","pass"
"Airway Management","airway-management","Rapid sequence intubation purpose","medium","recall","moderate","What is the primary purpose of rapid sequence intubation (RSI)?","Minimize aspiration risk during intubation","Improve oxygen diffusion capacity","Reduce ventilator peak pressures","Increase tidal volume delivery","A","RSI minimizes aspiration risk by rapidly inducing unconsciousness and paralysis.","A: Correct because rapid airway control reduces aspiration. | B: Not related to diffusion. | C: Not ventilator-focused. | D: Does not increase VT.","rapid sequence | aspiration prevention","Thinking RSI improves oxygenation mechanics.","Know intent of RSI.","pass"
"Airway Management","airway-management","Cuff pressure management","hard","decision-making","high","An intubated patient has a cuff pressure measured at 40 cm H2O. What is the most appropriate action?","Reduce cuff pressure to 20–30 cm H2O range","Increase cuff pressure to prevent leak","Deflate cuff completely","Replace the tube immediately","A","Optimal cuff pressure is typically 20–30 cm H2O to prevent mucosal ischemia.","A: Correct to prevent tracheal injury. | B: Higher pressures risk mucosal damage. | C: Full deflation risks aspiration. | D: Tube replacement unnecessary.","40 cm H2O | cuff pressure","Ignoring tracheal injury risk.","Maintain safe cuff range.","pass"
"Airway Management","airway-management","Extubation readiness indicator","hard","decision-making","high","Which finding best supports readiness for extubation?","Adequate cough and gag reflex","FiO2 requirement of 0.80","PEEP 14 cm H2O","Persistent altered mental status","A","Airway protective reflexes are critical for safe extubation.","A: Correct because airway protection is essential. | B: High FiO2 suggests instability. | C: High PEEP suggests oxygenation instability. | D: Altered LOC increases aspiration risk.","airway protective reflex | extubation readiness","Focusing only on ABG values.","Airway protection comes before numbers.","pass"
"Airway Management","airway-management","Bag-mask ventilation failure cause","hard","interpretation","high","During bag-mask ventilation, chest rise is minimal despite proper mask seal. The patient has a large beard. What is the most likely cause?","Poor mask seal due to facial hair","Severe metabolic acidosis","Hyperkalemia","Excess oxygen flow","A","Facial hair commonly prevents adequate mask seal.","A: Correct because air leak reduces ventilation. | B: Metabolic acidosis does not impair seal. | C: Hyperkalemia unrelated. | D: Oxygen flow not the primary issue.","large beard | minimal chest rise","Increasing pressure instead of fixing seal.","Seal first before increasing force.","pass"
"Airway Management","airway-management","Airway edema recognition","medium","interpretation","moderate","A recently extubated patient develops inspiratory stridor and hoarseness. What is the most likely cause?","Laryngeal edema","Bronchospasm","Pulmonary embolism","Atelectasis","A","Post-extubation stridor suggests laryngeal edema.","A: Correct because airway swelling narrows glottic opening. | B: Bronchospasm produces expiratory wheezing. | C: PE causes hypoxemia not stridor. | D: Atelectasis causes crackles.","post-extubation | stridor","Treating with bronchodilators only.","Recognize upper airway edema.","pass"
"Airway Management","airway-management","Tracheostomy obstruction management","hard","decision-making","high","A tracheostomy patient suddenly becomes hypoxic and cannot be ventilated through the trach. What is the first action?","Remove inner cannula and assess patency","Increase ventilator rate","Administer bronchodilator","Call for chest x-ray first","A","Inner cannula obstruction is common and should be checked immediately.","A: Correct because blockage is common cause. | B: Rate does not fix obstruction. | C: Bronchodilator does not clear obstruction. | D: Imaging delays life-saving intervention.","cannot ventilate trach | sudden hypoxia","Skipping simple obstruction check.","Fix mechanical obstruction first.","pass"
"Airway Management","airway-management","Difficult airway backup planning","medium","decision-making","moderate","Before attempting intubation in a predicted difficult airway, what is most important?","Have a backup airway plan ready","Increase tidal volume","Lower PEEP","Administer diuretics","A","Preparation for backup airway is essential in predicted difficulty.","A: Correct because airway failure requires immediate alternative. | B: Vent settings irrelevant pre-intubation. | C: PEEP unrelated. | D: Diuretics unrelated.","predicted difficult airway","Proceeding without contingency plan.","Always plan backup before attempt.","pass"
"Airway Management","airway-management","Tension pneumothorax during ventilation","hard","interpretation","high","A mechanically ventilated patient develops sudden hypotension, absent breath sounds on the right, and increasing peak pressures. What is the most likely cause?","Tension pneumothorax","Esophageal intubation","Pulmonary fibrosis","Equipment battery failure","A","Sudden hypotension, unilateral absent breath sounds, and rising pressures indicate tension pneumothorax.","A: Correct life-threatening emergency. | B: Esophageal intubation lacks unilateral findings after prior confirmation. | C: Fibrosis is chronic. | D: Battery failure does not cause unilateral findings.","sudden hypotension | unilateral absent breath sounds | high peak pressures","Adjusting ventilator instead of decompressing.","Recognize ventilated tension pneumothorax immediately.","pass"
