category,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Pharmacology","Beta-2 agonist systemic effects","medium","interpretation","high","A patient receiving continuous nebulized albuterol for status asthmaticus develops HR 138 per minute and tremors. Blood pressure remains stable. Which mechanism best explains these findings?","Muscarinic receptor stimulation","Beta-1 receptor stimulation from systemic absorption","Alpha-1 vasoconstriction","Histamine release","B","High-dose beta-2 agonists can lose receptor selectivity and stimulate beta-1 receptors, causing tachycardia and tremors.","A: Does not cause tachycardia in this context. | B: Correct due to loss of beta-2 selectivity at high doses. | C: Would cause hypertension rather than tremor pattern. | D: Not related to albuterol mechanism.","continuous albuterol | tachycardia | tremors","Assuming albuterol is purely beta-2 selective at high doses.","Recognize systemic beta-agonist spillover effects.","single best answer: yes; physiology accurate: yes; ambiguity: none"
"Pharmacology","Ipratropium mechanism of action","medium","recall","moderate","Which receptor does ipratropium primarily block to reduce bronchoconstriction?","Beta-2 receptor","Muscarinic M3 receptor","Alpha-1 receptor","Nicotinic receptor","B","Ipratropium blocks M3 muscarinic receptors in airway smooth muscle, reducing vagally mediated bronchoconstriction.","A: Beta-2 receptors are stimulated by albuterol not blocked by ipratropium. | B: Correct receptor target. | C: Alpha-1 blockade does not produce primary bronchodilation. | D: Nicotinic receptors are not primary airway targets.","M3 receptor | vagal tone","Confusing beta agonists with anticholinergics.","Match drug class to receptor.","single best answer: yes; physiology accurate: yes; ambiguity: none"
"Pharmacology","Corticosteroid onset of action","medium","decision-making","moderate","A patient in acute asthma exacerbation receives IV methylprednisolone. When should clinical improvement from steroid effect typically begin?","Within minutes","Within one hour","Several hours later","After 24 to 48 hours only","C","Steroids require gene transcription and protein synthesis changes, so clinical improvement typically occurs several hours after administration.","A: Steroids do not work immediately. | B: One hour is usually too soon for genomic effect. | C: Correct timing window. | D: Effect begins before 24 hours in many cases.","steroid timing | genomic effect","Expecting steroids to work immediately.","Understand delayed genomic mechanism.","single best answer: yes; physiology accurate: yes; ambiguity: none"
"Pharmacology","Magnesium sulfate in severe asthma","medium","decision-making","high","A patient with life-threatening asthma remains bronchospastic after beta-agonists and steroids. Which medication may provide additional bronchodilation?","Furosemide","Magnesium sulfate","Dopamine","Naloxone","B","Magnesium sulfate relaxes smooth muscle and may be used in severe refractory asthma exacerbations.","A: Not primary bronchodilator therapy. | B: Correct adjunct in severe cases. | C: Vasopressor not bronchodilator. | D: Opioid reversal agent.","refractory asthma | adjunct therapy","Stopping escalation too early.","Know rescue adjuncts beyond beta-agonists.","single best answer: yes; physiology accurate: yes; ambiguity: none"
"Pharmacology","Neuromuscular blockade without sedation","heavy","decision-making","high","A patient requires rapid sequence intubation. Which agent provides paralysis but no sedation or analgesia?","Propofol","Rocuronium","Midazolam","Fentanyl","B","Rocuronium is a neuromuscular blocker that produces paralysis without sedation or analgesia.","A: Sedative hypnotic. | B: Correct paralytic agent. | C: Benzodiazepine sedative. | D: Opioid analgesic.","RSI | paralysis only","Forgetting paralytics do not sedate.","Separate paralysis from sedation pharmacology.","single best answer: yes; physiology accurate: yes; ambiguity: none"
"Pharmacology","Opioid respiratory depression reversal","medium","decision-making","high","A patient on high-dose morphine becomes somnolent with respiratory rate 6 per minute and PaCO2 68 mm Hg. Which drug reverses this effect?","Flumazenil","Naloxone","Epinephrine","Atropine","B","Naloxone is an opioid receptor antagonist that reverses opioid-induced respiratory depression.","A: Reverses benzodiazepines not opioids. | B: Correct opioid antagonist. | C: Not specific reversal. | D: Anticholinergic unrelated.","RR 6 | morphine | PaCO2 68","Confusing benzo vs opioid reversal.","Match antidote to drug class.","single best answer: yes; physiology accurate: yes; ambiguity: none"
"Pharmacology","Propofol hemodynamic effect","medium","interpretation","moderate","After starting propofol infusion for ventilator sedation, a patient develops hypotension. What is the most likely mechanism?","Alpha-1 stimulation","Peripheral vasodilation","Increased cardiac contractility","Histamine blockade","B","Propofol causes systemic vasodilation and reduced preload, leading to hypotension.","A: Would raise blood pressure. | B: Correct vasodilatory effect. | C: Not propofol action. | D: Not primary mechanism.","propofol | hypotension","Ignoring vasodilatory side effects.","Understand sedative hemodynamics.","single best answer: yes; physiology accurate: yes; ambiguity: none"
"Pharmacology","Inhaled nitric oxide mechanism","heavy","interpretation","moderate","Inhaled nitric oxide improves oxygenation in ARDS primarily by:","Increasing systemic blood pressure","Selectively dilating pulmonary vessels in ventilated areas","Increasing hemoglobin concentration","Increasing tidal volume","B","Inhaled nitric oxide selectively dilates pulmonary vessels in ventilated lung regions, improving VQ matching.","A: Does not primarily affect systemic pressure. | B: Correct VQ improvement mechanism. | C: Does not change hemoglobin. | D: Does not change ventilator settings.","ARDS | selective pulmonary vasodilation","Thinking it affects systemic circulation equally.","Link mechanism to VQ improvement.","single best answer: yes; physiology accurate: yes; ambiguity: none"
"Pharmacology","Theophylline toxicity","heavy","interpretation","moderate","A patient taking theophylline develops seizures and ventricular arrhythmias. What is the most likely explanation?","Excess muscarinic blockade","Beta receptor desensitization","Narrow therapeutic index toxicity","Alpha receptor stimulation","C","Theophylline has a narrow therapeutic index and can cause serious neurologic and cardiac toxicity when levels rise.","A: Not muscarinic agent. | B: Not primary toxicity mechanism. | C: Correct explanation. | D: Not alpha-mediated.","seizures | arrhythmias | theophylline","Forgetting narrow therapeutic window.","Recognize classic toxicity pattern.","single best answer: yes; physiology accurate: yes; ambiguity: none"
"Pharmacology","First-line vasopressor in septic shock","heavy","decision-making","high","A septic patient remains hypotensive after adequate fluid resuscitation. Which first-line vasopressor is recommended?","Dopamine","Norepinephrine","Phenylephrine","Dobutamine","B","Norepinephrine is first-line in septic shock due to strong alpha-1 vasoconstriction and moderate beta support.","A: Higher arrhythmia risk and not preferred first-line. | B: Correct first-line agent. | C: Pure alpha may reduce cardiac output. | D: Primarily inotrope not vasopressor.","septic shock | first-line","Choosing dopamine out of habit.","Know current vasopressor hierarchy.","single best answer: yes; physiology accurate: yes; ambiguity: none"
