category,category_slug,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"ABG & Acid-Base","abg-acid-base","Acute vs chronic respiratory acidosis differentiation","hard","interpretation","high","ABG: pH 7.36, PaCO2 60 mm Hg, HCO3- 34 mEq/L. What is the primary disorder?","Chronic respiratory acidosis","Acute respiratory acidosis","Metabolic alkalosis","Mixed acidosis","A","Elevated PaCO2 with elevated HCO3- and near-normal pH indicates chronic respiratory acidosis with renal compensation.","A: Correct chronic compensation pattern. | B: Acute would not have significantly elevated HCO3-. | C: pH not alkalemic. | D: No second primary acidifying process.","near normal pH | high CO2 | high HCO3-","Calling near-normal pH normal.","Assess compensation magnitude.","pass"
"ABG & Acid-Base","abg-acid-base","Delta gap mixed disorder detection","hard","interpretation","high","ABG: pH 7.30, PaCO2 32 mm Hg, HCO3- 15 mEq/L. Labs: Na 140, Cl 100. What additional disorder is present?","Concurrent metabolic alkalosis","Isolated high anion gap acidosis","Pure respiratory alkalosis","Normal acid-base","A","Anion gap is 25. Delta gap (25-12=13) added to HCO3- (15+13=28) suggests concurrent metabolic alkalosis.","A: Correct because delta gap suggests second alkalotic process. | B: Gap alone does not explain bicarbonate shift. | C: Not primary driver. | D: Abnormal values present.","delta gap | elevated AG","Stopping at high AG without delta analysis.","Use delta gap when AG elevated.","pass"
"ABG & Acid-Base","abg-acid-base","Respiratory alkalosis expected compensation","medium","interpretation","moderate","ABG: pH 7.52, PaCO2 28 mm Hg, HCO3- 23 mEq/L. What is most accurate?","Acute respiratory alkalosis","Chronic respiratory alkalosis","Mixed alkalosis","Metabolic acidosis","A","Low PaCO2 with minimal bicarbonate change indicates acute respiratory alkalosis.","A: Correct acute pattern. | B: Chronic would show lower HCO3-. | C: HCO3- not elevated. | D: pH alkalemic.","high pH | low CO2 | near normal HCO3-","Overcalling compensation.","Check bicarbonate shift.","pass"
"ABG & Acid-Base","abg-acid-base","Mixed acidosis recognition","hard","interpretation","high","ABG: pH 7.10, PaCO2 60 mm Hg, HCO3- 18 mEq/L. What is most accurate?","Mixed respiratory and metabolic acidosis","Acute respiratory acidosis","Metabolic acidosis only","Compensated disorder","A","Both elevated PaCO2 and low HCO3- contribute to severe acidemia indicating two primary processes.","A: Correct because both variables worsen pH. | B: HCO3- too low for isolated respiratory. | C: CO2 elevated. | D: pH severely abnormal.","very low pH | high CO2 | low HCO3-","Assuming compensation when both variables worsen pH.","If both variables move acid direction → mixed.","pass"
"ABG & Acid-Base","abg-acid-base","Metabolic alkalosis expected CO2","hard","interpretation","moderate","ABG: pH 7.49, HCO3- 38 mEq/L. Expected PaCO2 is approximately 0.7(HCO3-)+20 ≈ 46. Measured PaCO2 is 60. What does this suggest?","Superimposed respiratory acidosis","Appropriate compensation","Superimposed respiratory alkalosis","Normal acid-base","A","Measured CO2 exceeds expected value indicating additional respiratory acidosis.","A: Correct because PaCO2 higher than expected compensation. | B: Compensation would approximate expected. | C: CO2 not low. | D: pH abnormal.","expected vs measured CO2","Not calculating expected compensation.","Compare measured to predicted.","pass"
"ABG & Acid-Base","abg-acid-base","High anion gap acidosis cause recognition","medium","interpretation","high","ABG: pH 7.27, PaCO2 30 mm Hg, HCO3- 14 mEq/L. Na 138, Cl 100. Most consistent with which process?","Lactic acidosis","Respiratory alkalosis","Metabolic alkalosis","Normal acid-base","A","AG = 24 elevated, consistent with high anion gap metabolic acidosis such as lactic acidosis.","A: Correct high AG process. | B: pH acidemic. | C: HCO3- low not high. | D: Values abnormal.","high AG | low HCO3-","Ignoring chemistry panel.","Compute gap first.","pass"
"ABG & Acid-Base","abg-acid-base","Respiratory acidosis acute compensation rule","medium","interpretation","moderate","ABG: pH 7.30, PaCO2 55 mm Hg, HCO3- 26 mEq/L. What is most accurate?","Acute respiratory acidosis","Chronic respiratory acidosis","Metabolic alkalosis","Mixed disorder","A","Bicarbonate slightly elevated (~1 mEq per 10 CO2 increase) consistent with acute compensation.","A: Correct acute rule. | B: Chronic would show larger HCO3- rise. | C: pH not alkalemic. | D: No second disorder evident.","acute compensation rule","Forgetting 1 vs 4 mEq rule.","Use compensation rules.","pass"
"ABG & Acid-Base","abg-acid-base","Severe acidemia immediate priority","medium","decision-making","high","ABG: pH 7.05, PaCO2 40 mm Hg, HCO3- 11 mEq/L. What is immediate physiologic concern?","Cardiac instability from severe acidemia","Oxygen toxicity","Alkalosis-induced tetany","None significant","A","Severe acidemia can depress myocardial contractility and cause arrhythmias.","A: Correct life-threatening risk. | B: Not relevant. | C: Opposite pH state. | D: pH critically low.","pH 7.05","Ignoring severity of pH.","Recognize life-threatening ranges.","pass"
"ABG & Acid-Base","abg-acid-base","Compensated respiratory alkalosis pattern","medium","interpretation","moderate","ABG: pH 7.40, PaCO2 30 mm Hg, HCO3- 19 mEq/L. What best describes this?","Fully compensated respiratory alkalosis","Metabolic acidosis","Normal ABG","Mixed acidosis","A","Low PaCO2 with proportionally reduced HCO3- and normalized pH indicates full compensation.","A: Correct because pH normalized. | B: CO2 not elevated. | C: Variables abnormal. | D: Not acidemic.","normal pH | low CO2 | low HCO3-","Calling it normal.","Normal pH does not mean no disorder.","pass"
"ABG & Acid-Base","abg-acid-base","Oxygenation vs ventilation clinical distinction","medium","decision-making","high","ABG: pH 7.38, PaCO2 60 mm Hg, PaO2 90 mm Hg on room air. What is the primary abnormality?","Ventilation failure","Oxygenation failure","Metabolic acidosis","Normal gas exchange","A","Elevated PaCO2 with normal oxygenation indicates hypoventilation without oxygenation defect.","A: Correct separation of CO2 and O2 physiology. | B: PaO2 normal. | C: pH normal. | D: CO2 abnormal.","high CO2 | normal PaO2","Confusing oxygenation with ventilation.","Evaluate CO2 and O2 separately.","pass"
