category,category_slug,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Neonatal & Pediatrics","neonatal-peds","Transient tachypnea of the newborn","medium","interpretation","moderate","A term infant delivered by elective cesarean section develops tachypnea within the first hour of life. Chest radiograph shows prominent vascular markings and fluid in the fissures. What is the most likely diagnosis?","Transient tachypnea of the newborn","Respiratory distress syndrome","Meconium aspiration syndrome","Persistent pulmonary hypertension","A","TTN is common after cesarean delivery due to delayed clearance of fetal lung fluid and presents with mild to moderate tachypnea.","A: Correct classic TTN presentation. | B: RDS occurs primarily in premature infants. | C: Meconium aspiration shows patchy infiltrates. | D: PPHN presents with severe hypoxemia and differential saturation.","term infant | C-section | fluid in fissures","Confusing TTN with RDS.","Term + C-section + fluid pattern = TTN.","pass"
"Neonatal & Pediatrics","neonatal-peds","Meconium aspiration syndrome","medium","interpretation","high","A post-term infant presents with respiratory distress and coarse crackles after delivery through meconium-stained amniotic fluid. Chest radiograph shows patchy infiltrates and hyperinflation. What is the most likely diagnosis?","Meconium aspiration syndrome","Respiratory distress syndrome","Congenital pneumonia","Bronchopulmonary dysplasia","A","Post-term infant with meconium exposure and patchy infiltrates is classic for meconium aspiration.","A: Correct pattern. | B: RDS affects premature infants. | C: Pneumonia lacks classic hyperinflation pattern. | D: BPD is chronic complication.","post-term | meconium | patchy infiltrates","Missing gestational age clue.","Post-term + meconium = MAS.","pass"
"Neonatal & Pediatrics","neonatal-peds","Pediatric bradycardia management","medium","decision-making","high","A 6-month-old infant develops bradycardia to 50 per minute during respiratory failure. What is the most appropriate immediate intervention?","Provide effective ventilation with oxygen","Administer atropine","Start chest compressions immediately","Administer epinephrine first","A","In pediatric patients, bradycardia is most often due to hypoxia; ventilation is the priority.","A: Correct pediatric algorithm step. | B: Atropine not first-line here. | C: Compressions indicated if HR <60 with poor perfusion after ventilation. | D: Epinephrine follows ventilation and compressions if needed.","bradycardia | respiratory failure","Treating bradycardia as primary cardiac issue.","Ventilation first in pediatric bradycardia.","pass"
"Neonatal & Pediatrics","neonatal-peds","Neonatal oxygen saturation targets","hard","decision-making","high","A preterm infant is receiving supplemental oxygen. Why should oxygen saturation be carefully titrated rather than maintained at 100 percent?","To reduce risk of retinopathy of prematurity","To prevent immediate apnea","To improve surfactant production","To increase pulmonary compliance","A","Excessive oxygen exposure increases risk of retinopathy of prematurity in preterm infants.","A: Correct complication risk. | B: Apnea not caused by high saturation. | C: Oxygen does not stimulate surfactant production directly. | D: Compliance not directly improved by hyperoxia.","preterm | titrate oxygen","Maintaining unnecessarily high SpO2 in neonates.","Avoid hyperoxia complications.","pass"
"Neonatal & Pediatrics","neonatal-peds","Croup pathophysiology","medium","interpretation","moderate","A 3-year-old child presents with inspiratory stridor and a barking cough. What is the most likely diagnosis?","Croup","Epiglottitis","Foreign body aspiration","Asthma exacerbation","A","Croup presents with viral upper airway inflammation causing inspiratory stridor and barking cough.","A: Correct classic presentation. | B: Epiglottitis presents with drooling and severe distress. | C: Foreign body often sudden onset without viral symptoms. | D: Asthma causes expiratory wheeze.","barking cough | inspiratory stridor","Confusing upper airway with lower airway disease.","Stridor + barking cough = croup.","pass"
"Neonatal & Pediatrics","neonatal-peds","Pediatric hypoxemia progression","medium","interpretation","high","Which sign indicates worsening hypoxemia in an infant despite supplemental oxygen?","Decreasing level of consciousness","Mild tachypnea","Slight nasal flaring","Mild irritability","A","Decreased responsiveness indicates cerebral hypoxia and clinical deterioration.","A: Correct severe sign. | B-D: Earlier signs of distress.","decreasing LOC | worsening hypoxemia","Missing neurologic deterioration.","Late signs = dangerous.","pass"
"Neonatal & Pediatrics","neonatal-peds","Bronchopulmonary dysplasia","hard","interpretation","moderate","A premature infant requiring prolonged mechanical ventilation and oxygen develops chronic lung changes. What is the most likely diagnosis?","Bronchopulmonary dysplasia","Transient tachypnea","Congenital pneumonia","Meconium aspiration","A","BPD is chronic lung disease following prolonged oxygen and ventilator exposure in preterm infants.","A: Correct chronic complication. | B: TTN is transient. | C: Pneumonia acute infection. | D: MAS occurs at birth.","premature | prolonged ventilation","Confusing acute vs chronic disease.","Chronic oxygen exposure leads to BPD.","pass"
"Neonatal & Pediatrics","neonatal-peds","Pediatric airway obstruction severity","medium","decision-making","high","A child with severe upper airway obstruction develops silent chest and decreasing stridor. What does this most strongly indicate?","Impending complete airway obstruction","Clinical improvement","Bronchodilator response","Mild obstruction","A","Decreasing stridor with worsening distress suggests minimal airflow and impending obstruction.","A: Correct emergency sign. | B: Improvement would show easier breathing. | C: Upper airway obstruction not bronchodilator responsive. | D: Silent chest is severe, not mild.","silent chest | worsening distress","Thinking quieter means better.","Less sound + distress = severe obstruction.","pass"
"Neonatal & Pediatrics","neonatal-peds","Neonatal hypoglycemia respiratory effect","medium","interpretation","moderate","A newborn with hypoglycemia develops apnea episodes. What is the most likely mechanism?","Central respiratory depression","Upper airway collapse","Pulmonary edema","Increased surfactant production","A","Hypoglycemia can depress central nervous system activity leading to apnea.","A: Correct central mechanism. | B: Not primary cause. | C: Pulmonary edema unrelated. | D: Surfactant unaffected.","hypoglycemia | apnea","Missing metabolic cause of apnea.","Metabolic issues can depress breathing.","pass"
"Neonatal & Pediatrics","neonatal-peds","Infant chest wall compliance","hard","interpretation","moderate","Compared with adults, infants have highly compliant chest walls. What is the primary respiratory consequence?","Greater tendency for chest wall collapse during inspiration","Increased residual volume","Improved oxygen reserve","Lower work of breathing","A","Highly compliant chest walls can collapse inward during inspiration, increasing work of breathing and risk of fatigue.","A: Correct physiologic effect. | B: Residual volume is lower. | C: Oxygen reserve is lower. | D: Work of breathing is often higher.","compliant chest wall | infant physiology","Applying adult mechanics to infants.","High compliance increases collapse risk.","pass"
