category,category_slug,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Patient Assessment","patient-assessment","Accessory muscle use interpretation","medium","interpretation","high","A patient with acute respiratory distress demonstrates sternocleidomastoid and intercostal muscle use during inspiration. What does this most strongly indicate?","Increased work of breathing","Normal respiratory pattern","Primary metabolic disorder","Improved lung compliance","A","Accessory muscle recruitment reflects increased inspiratory effort and elevated work of breathing.","A: Correct — accessory muscles activate when primary respiratory muscles are insufficient. | B: This is not normal at rest. | C: Metabolic disorders do not directly cause accessory use. | D: Improved compliance would reduce effort.","sternocleidomastoid use | distress","Underestimating visible effort.","Accessory muscle use = increased work of breathing.","pass"
"Patient Assessment","patient-assessment","Tripod positioning significance","medium","interpretation","moderate","A patient with COPD sits leaning forward with arms braced on a table while breathing. What is the physiologic purpose of this posture?","Improves diaphragmatic efficiency","Reduces cardiac output","Increases airway resistance","Indicates neurologic deficit","A","The tripod position stabilizes shoulder girdle muscles to enhance accessory muscle function and improve diaphragmatic mechanics.","A: Correct — posture optimizes ventilatory mechanics. | B: Not primary goal. | C: Does not intentionally increase resistance. | D: Not neurologic in origin.","leaning forward | arms braced","Assuming it is simply comfort behavior.","Positioning can improve mechanics.","pass"
"Patient Assessment","patient-assessment","Early shock respiratory response","medium","interpretation","high","A trauma patient has normal blood pressure but increasing respiratory rate to 32/min and cool extremities. What is the most likely explanation?","Compensatory response to early shock","Primary anxiety","Improved oxygen delivery","Sedation effect","A","Tachypnea and peripheral vasoconstriction may precede hypotension in early shock states.","A: Correct early compensation. | B: Anxiety does not explain cool extremities. | C: Oxygen delivery likely reduced. | D: Sedation depresses respiratory rate.","normal BP | tachypnea | cool extremities","Waiting for hypotension before recognizing shock.","Shock can exist before BP falls.","pass"
"Patient Assessment","patient-assessment","Paradoxical breathing recognition","hard","interpretation","high","A patient with chest trauma demonstrates inward movement of a chest wall segment during inspiration. What does this finding indicate?","Flail chest","Normal respiratory variation","Diaphragmatic paralysis","Bronchospasm","A","Paradoxical inward motion of a segment during inspiration is classic for flail chest.","A: Correct traumatic instability. | B: Not normal. | C: Diaphragm dysfunction affects abdominal movement. | D: Bronchospasm does not cause chest wall paradox.","inward segment movement","Missing visual diagnostic clues.","Paradoxical motion = structural instability.","pass"
"Patient Assessment","patient-assessment","Mental status and hypercapnia","hard","interpretation","high","A patient becomes progressively somnolent with shallow breathing. ABG reveals PaCO2 72 mm Hg. What is the most likely cause of mental status change?","Hypercapnic encephalopathy","Hypoglycemia","Primary stroke","Oxygen toxicity","A","Elevated CO2 levels can depress the central nervous system leading to somnolence.","A: Correct CO2 narcosis. | B: Glucose not provided abnormal. | C: No focal deficits described. | D: Oxygen toxicity does not present acutely this way.","PaCO2 72 | somnolent","Focusing only on oxygen levels.","Ventilation affects neurologic status.","pass"
"Patient Assessment","patient-assessment","Delayed capillary refill interpretation","medium","interpretation","moderate","Capillary refill time exceeds 4 seconds in a hypotensive patient. What does this most suggest?","Peripheral hypoperfusion","Normal aging response","Improved circulation","Bronchospasm","A","Delayed refill reflects decreased peripheral perfusion.","A: Correct indicator. | B: Aging does not prolong refill this significantly. | C: Opposite finding. | D: Not airway related.","cap refill >4 sec","Ignoring peripheral circulation signs.","Peripheral perfusion is key shock marker.","pass"
"Patient Assessment","patient-assessment","Unequal breath sounds evaluation","hard","decision-making","high","A patient suddenly develops absent breath sounds on the right with acute dyspnea and hypotension. What should be assessed immediately?","Need for emergent decompression","Anxiety level","Electrolytes","Blood glucose","A","Absent unilateral breath sounds with hypotension suggests tension pneumothorax requiring urgent intervention.","A: Correct life-threatening assessment. | B: Not primary cause. | C: Electrolytes not acute cause. | D: Glucose unrelated.","absent right breath sounds | hypotension","Ordering labs before addressing airway emergency.","Unilateral absence + instability = emergency.","pass"
"Patient Assessment","patient-assessment","Cushing triad recognition","hard","recall","moderate","Which combination of findings suggests increased intracranial pressure?","Hypertension, bradycardia, irregular respirations","Hypotension, tachycardia, bradypnea","Hypertension, tachycardia, tachypnea","Bradycardia, hypotension, shallow breathing","A","Cushing triad includes hypertension, bradycardia, and irregular respirations.","A: Correct classic triad. | B: Not ICP pattern. | C: Tachycardia not typical. | D: Hypotension contradicts ICP compensation.","bradycardia | hypertension | irregular respirations","Forgetting classic triads.","Memorize high-yield neurologic patterns.","pass"
"Patient Assessment","patient-assessment","Clubbing significance","medium","interpretation","moderate","Digital clubbing is most commonly associated with what chronic condition?","Chronic hypoxemia","Acute bronchospasm","Metabolic alkalosis","Acute pulmonary embolism","A","Clubbing is associated with long-standing hypoxemia and chronic lung disease.","A: Correct chronic association. | B: Acute conditions do not cause clubbing. | C: Not acid-base related. | D: PE is acute.","digital clubbing","Confusing acute vs chronic signs.","Chronic findings develop over time.","pass"
"Patient Assessment","patient-assessment","Fatigue in respiratory distress","hard","decision-making","high","A patient initially tachypneic at 36/min now slows to 18/min with shallow breathing and increasing CO2. What does this change most strongly indicate?","Respiratory muscle fatigue and impending failure","Clinical improvement","Anxiety resolution","Normal compensation","A","A sudden decrease in respiratory rate with rising CO2 in a previously distressed patient indicates fatigue and failure.","A: Correct decompensation sign. | B: Improvement would normalize gas exchange. | C: Anxiety would not raise CO2. | D: Compensation would not cause CO2 rise.","initial tachypnea | slowing RR | rising CO2","Assuming slower breathing means improvement.","Trend direction matters more than single value.","pass"
