category,category_slug,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"ABG & Acid-Base","abg-acid-base","Acute respiratory acidosis identification","medium","interpretation","high","ABG: pH 7.25, PaCO2 58 mm Hg, HCO3- 25 mEq/L. What is the primary disorder?","Acute respiratory acidosis","Chronic respiratory acidosis","Metabolic acidosis","Mixed acidosis","A","Low pH with elevated PaCO2 and near-normal HCO3- indicates acute respiratory acidosis without significant renal compensation.","A: Correct acute pattern. | B: Chronic would show elevated HCO3-. | C: HCO3- not low. | D: No second primary acidifying process.","low pH | high PaCO2 | normal HCO3-","Calling it chronic due to high CO2.","Check bicarbonate to determine chronicity.","pass"
"ABG & Acid-Base","abg-acid-base","Chronic respiratory alkalosis compensation","hard","interpretation","moderate","ABG: pH 7.44, PaCO2 30 mm Hg, HCO3- 20 mEq/L. What best describes this pattern?","Chronic respiratory alkalosis","Acute respiratory alkalosis","Metabolic acidosis","Mixed disorder","A","Low PaCO2 with decreased HCO3- and near-normal pH indicates chronic respiratory alkalosis with renal compensation.","A: Correct because compensation lowers bicarbonate. | B: Acute would have normal HCO3-. | C: pH not acidemic. | D: Values move in compensatory direction.","near normal pH | low PaCO2 | low HCO3-","Mislabeling as metabolic acidosis.","Look at pH direction first, then compensation.","pass"
"ABG & Acid-Base","abg-acid-base","Metabolic acidosis compensation assessment","hard","interpretation","high","ABG: pH 7.31, PaCO2 34 mm Hg, HCO3- 17 mEq/L. Expected PaCO2 by Winter formula is approximately 1.5(17)+8=33.5. What does this indicate?","Appropriate respiratory compensation","Superimposed respiratory acidosis","Superimposed respiratory alkalosis","Chronic metabolic acidosis","A","Measured PaCO2 (34) closely matches expected (≈34), indicating appropriate compensation.","A: Correct compensation alignment. | B: PaCO2 not elevated above expected. | C: PaCO2 not below expected. | D: Chronicity not indicated here.","expected vs measured PaCO2","Failing to calculate expected CO2.","Use formula to confirm compensation adequacy.","pass"
"ABG & Acid-Base","abg-acid-base","Severe metabolic alkalosis recognition","medium","interpretation","moderate","ABG: pH 7.56, PaCO2 48 mm Hg, HCO3- 42 mEq/L. What is the primary disorder?","Metabolic alkalosis","Respiratory alkalosis","Mixed alkalosis","Chronic respiratory acidosis","A","High pH with markedly elevated bicarbonate indicates primary metabolic alkalosis.","A: Correct because HCO3- elevated significantly. | B: PaCO2 not low. | C: No second alkalotic driver. | D: HCO3- elevated not compensatory pattern.","very high HCO3- | alkalemic pH","Mistaking compensatory CO2 retention as primary disorder.","Match pH direction with primary variable.","pass"
"ABG & Acid-Base","abg-acid-base","Anion gap metabolic acidosis recognition","medium","interpretation","high","ABG: pH 7.28, PaCO2 32 mm Hg, HCO3- 15 mEq/L. Chemistry: Na 140, Cl 102. What is the anion gap?","23","17","15","12","A","AG = 140 − (102+15)=23, elevated indicating high anion gap metabolic acidosis.","A: Correct calculation. | B-D: Incorrect arithmetic.","calculate AG | Na minus Cl plus HCO3-","Forgetting to subtract bicarbonate.","Always compute AG before interpreting.","pass"
"ABG & Acid-Base","abg-acid-base","Normal anion gap acidosis identification","medium","interpretation","moderate","Lab values: Na 136, Cl 110, HCO3- 18. What is most accurate?","Normal anion gap metabolic acidosis","High anion gap acidosis","Metabolic alkalosis","Respiratory acidosis","A","AG = 136 − (110+18)=8, which is normal; low HCO3- indicates non-gap metabolic acidosis.","A: Correct interpretation. | B: Gap not elevated. | C-D: Not supported.","normal AG | low HCO3-","Assuming all acidosis is high gap.","Compute before labeling.","pass"
"ABG & Acid-Base","abg-acid-base","Acidemia vs alkalemia first step","easy","interpretation","high","ABG: pH 7.18, PaCO2 38 mm Hg, HCO3- 14 mEq/L. What is the first classification step?","Acidemia","Alkalemia","Normal pH","Respiratory disorder","A","pH below 7.35 indicates acidemia regardless of cause.","A: Correct initial classification. | B-D: pH clearly acidemic.","pH 7.18","Skipping pH step.","Always classify pH before determining cause.","pass"
"ABG & Acid-Base","abg-acid-base","Mixed alkalosis detection","hard","interpretation","moderate","ABG: pH 7.60, PaCO2 25 mm Hg, HCO3- 30 mEq/L. What is most accurate?","Mixed metabolic and respiratory alkalosis","Acute respiratory alkalosis","Metabolic alkalosis","Chronic respiratory alkalosis","A","Both PaCO2 and HCO3- are alkalotic drivers, indicating two primary alkalosing processes.","A: Correct because both variables raise pH. | B-D: Each describes single disorder.","very high pH | low CO2 | high HCO3-","Calling one primary and one compensatory when both worsen pH.","If both variables push pH same direction, think mixed.","pass"
"ABG & Acid-Base","abg-acid-base","Compensated metabolic alkalosis evaluation","medium","interpretation","moderate","ABG: pH 7.48, PaCO2 50 mm Hg, HCO3- 36 mEq/L. What is most accurate?","Metabolic alkalosis with respiratory compensation","Chronic respiratory acidosis","Mixed acidosis","Normal acid-base","A","Elevated HCO3- with alkalemic pH and elevated PaCO2 indicates compensatory hypoventilation.","A: Correct compensation pattern. | B: HCO3- too high for chronic alone. | C-D: Not supported.","high HCO3- | high PaCO2","Labeling compensation as primary.","Identify which variable matches pH.","pass"
"ABG & Acid-Base","abg-acid-base","Oxygenation versus ventilation separation","medium","decision-making","high","ABG: pH 7.37, PaCO2 39 mm Hg, PaO2 48 mm Hg on room air. What is the main problem?","Oxygenation failure","Ventilation failure","Metabolic acidosis","Normal ABG","A","Normal pH and PaCO2 indicate adequate ventilation. Low PaO2 reflects oxygenation impairment.","A: Correct physiologic separation. | B: CO2 normal. | C: HCO3- not provided but pH normal. | D: PaO2 clearly abnormal.","normal CO2 | low PaO2","Confusing ventilation with oxygenation.","Evaluate CO2 and O2 independently.","pass"
