category,category_slug,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Neonatal & Pediatrics","neonatal-peds","Persistent pulmonary hypertension of the newborn","hard","interpretation","high","A term infant develops severe hypoxemia shortly after birth. Preductal oxygen saturation is significantly higher than postductal saturation. What is the most likely diagnosis?","Persistent pulmonary hypertension of the newborn","Transient tachypnea of the newborn","Respiratory distress syndrome","Meconium aspiration syndrome","A","Differential preductal and postductal saturation indicates right-to-left shunting consistent with PPHN.","A: Correct differential saturation finding. | B: TTN does not cause significant shunting. | C: RDS occurs in preterm infants. | D: MAS may cause hypoxemia but not classic differential saturation.","preductal vs postductal | severe hypoxemia","Ignoring differential saturation clue.","Shunt pattern with ductal flow difference = PPHN.","pass"
"Neonatal & Pediatrics","neonatal-peds","Surfactant deficiency pathophysiology","medium","interpretation","high","A premature infant at 28 weeks gestation develops grunting, nasal flaring, and retractions shortly after birth. Chest radiograph shows diffuse ground-glass appearance. What is the primary underlying problem?","Surfactant deficiency","Delayed lung fluid clearance","Airway foreign body","Congenital diaphragmatic hernia","A","Premature infants lack sufficient surfactant, causing alveolar collapse and classic ground-glass radiographic pattern.","A: Correct for RDS. | B: TTN occurs in term infants. | C: Foreign body not typical in neonates. | D: Hernia shows bowel in thorax.","premature | ground-glass","Confusing TTN and RDS.","Prematurity + ground-glass = surfactant deficiency.","pass"
"Neonatal & Pediatrics","neonatal-peds","Neonatal resuscitation ventilation rate","medium","recall","moderate","During neonatal resuscitation, what ventilation rate is recommended when providing positive pressure ventilation?","40 to 60 breaths per minute","10 to 12 breaths per minute","20 breaths per minute","60 to 80 breaths per minute","A","Neonatal resuscitation guidelines recommend 40–60 breaths per minute.","A: Correct neonatal standard. | B: Adult rate. | C: Too low for neonate. | D: Excessively high and risks air trapping.","neonatal resuscitation | ventilation rate","Using adult rates for neonates.","Remember 40–60 for newborn PPV.","pass"
"Neonatal & Pediatrics","neonatal-peds","Apnea of prematurity","medium","interpretation","moderate","A 30-week premature infant has recurrent apnea episodes without infection or metabolic disturbance. What is the most likely cause?","Immature central respiratory control","Upper airway obstruction","Pulmonary edema","Congenital heart disease","A","Apnea of prematurity is due to immature brainstem respiratory centers.","A: Correct mechanism. | B: Would present with obstructive signs. | C: Not typical cause. | D: Cardiac issues have additional findings.","premature | recurrent apnea","Missing developmental immaturity cause.","Prematurity often means central apnea.","pass"
"Neonatal & Pediatrics","neonatal-peds","Pediatric asthma severity indicator","medium","interpretation","high","A child with asthma has decreasing wheeze and reduced breath sounds while appearing fatigued. What does this indicate?","Impending respiratory failure","Clinical improvement","Effective bronchodilator response","Mild exacerbation","A","Decreasing wheeze with fatigue suggests poor air movement and impending failure.","A: Correct severe sign. | B: Improvement would include better airflow. | C: Bronchodilator would improve air movement. | D: Findings are severe.","silent chest | fatigue","Assuming less wheeze means better.","Less airflow sound in distress is dangerous.","pass"
"Neonatal & Pediatrics","neonatal-peds","Congenital diaphragmatic hernia","hard","interpretation","high","A newborn presents with severe respiratory distress immediately after birth. Breath sounds are diminished on the left and the abdomen appears scaphoid. What is the most likely diagnosis?","Congenital diaphragmatic hernia","Meconium aspiration","Transient tachypnea","Respiratory distress syndrome","A","Abdominal contents in the thorax cause respiratory distress and a scaphoid abdomen.","A: Classic presentation. | B-D: Do not cause scaphoid abdomen.","scaphoid abdomen | unilateral breath sounds","Missing abdominal clue.","Scaphoid abdomen strongly indicates hernia.","pass"
"Neonatal & Pediatrics","neonatal-peds","Pediatric shock early sign","medium","interpretation","moderate","Which is an early sign of shock in a pediatric patient?","Tachycardia","Hypotension","Bradycardia","Decreased urine output only","A","Children compensate with tachycardia before developing hypotension.","A: Early compensatory sign. | B: Late finding in children. | C: Late deterioration. | D: Urine output change occurs later.","tachycardia | early sign","Waiting for hypotension.","Children compensate with HR first.","pass"
"Neonatal & Pediatrics","neonatal-peds","Neonatal thermoregulation effect","medium","interpretation","moderate","A hypothermic newborn develops respiratory distress. What is the most likely contributing factor?","Increased oxygen consumption","Improved surfactant function","Decreased metabolic rate","Improved pulmonary compliance","A","Cold stress increases metabolic demand and oxygen consumption, worsening respiratory status.","A: Correct physiologic effect. | B-D: Opposite of expected effect.","hypothermia | increased demand","Underestimating cold stress impact.","Cold stress increases oxygen need.","pass"
"Neonatal & Pediatrics","neonatal-peds","Pediatric upper airway anatomy","medium","interpretation","moderate","Which anatomic feature makes infants more susceptible to upper airway obstruction compared with adults?","Proportionally larger tongue","Longer trachea","Wider nasal passages","More rigid epiglottis","A","Infants have relatively larger tongues in a smaller oral cavity, increasing obstruction risk.","A: Correct anatomical difference. | B-D: Not primary reasons.","large tongue | infant anatomy","Applying adult anatomy assumptions.","Infant airway is smaller and more collapsible.","pass"
"Neonatal & Pediatrics","neonatal-peds","Neonatal ventilation strategy in RDS","hard","decision-making","high","A premature infant with RDS remains hypoxemic despite CPAP. What is the next most appropriate intervention?","Administer exogenous surfactant","Decrease FiO2","Extubate immediately","Withhold respiratory support","A","Surfactant replacement addresses the underlying deficiency in premature infants with RDS.","A: Correct definitive therapy. | B: Hypoxemia persists. | C: Patient unstable. | D: Support must continue.","premature | RDS | persistent hypoxemia","Treating symptoms instead of cause.","Fix surfactant deficiency directly.","pass"
