category,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Oxygenation","FiO2 responsiveness suggests shunt physiology","medium","interpretation","high","A patient with dense unilateral consolidation has PaO2 52 mm Hg on FiO2 0.60 and PaO2 56 mm Hg on FiO2 1.00. PaCO2 remains 40 mm Hg. Which mechanism best explains this pattern?","Intrapulmonary shunt","Pure hypoventilation","Low inspired oxygen concentration","Mild diffusion limitation","A","Minimal PaO2 improvement despite large FiO2 increase strongly indicates shunt physiology.","A: Correct because shunt is poorly responsive to FiO2 increases. | B: Hypoventilation usually improves with higher FiO2 and often elevates PaCO2. | C: FiO2 was already maximized. | D: Diffusion limitation typically improves with increased FiO2.","FiO2 1.00 | minimal PaO2 rise | mechanism","Mislabeling refractory hypoxemia as hypoventilation.","Use oxygen-response pattern to distinguish shunt from other causes.","single best answer; physiology accurate"
"Oxygenation","FiO2 responsiveness suggests VQ mismatch","medium","interpretation","high","A patient with acute asthma has PaO2 58 mm Hg on FiO2 0.30 that improves to 92 mm Hg on FiO2 0.50. PaCO2 is 33 mm Hg. Which mechanism is most consistent with this response?","VQ mismatch","Large fixed shunt","Pure hypoventilation","Laboratory error","A","Substantial PaO2 improvement with moderate FiO2 increase is typical of VQ mismatch.","A: Correct because VQ mismatch responds to oxygen. | B: Large shunt shows poor FiO2 response. | C: Hypoventilation usually elevates PaCO2. | D: Data trend is physiologically consistent.","improves with FiO2 | PaCO2 33 | mechanism","Assuming all hypoxemia equals shunt.","Differentiate VQ mismatch from shunt using oxygen response.","single best answer; physiology accurate"
"Oxygenation","Alveolar-arterial gradient interpretation","medium","interpretation","moderate","A 40-year-old on room air has calculated PAO2 100 mm Hg and measured PaO2 70 mm Hg. Which statement is most accurate?","A to a gradient is elevated suggesting gas exchange defect","Gradient is normal","This proves oxygen toxicity","Cannot interpret on room air","A","An A–a gradient of 30 mm Hg is elevated for a 40-year-old and suggests VQ mismatch or diffusion defect.","A: Correct because normal gradient at this age is much lower. | B: 30 mm Hg is not normal for this age. | C: Oxygen toxicity is unrelated. | D: Gradient can be assessed on room air.","PAO2 100 | PaO2 70 | age 40","Failing to compare gradient to age expectation.","Interpret A–a gradient relative to age-adjusted normal.","single best answer; physiology accurate"
"Oxygenation","Ventilator oxygenation lever selection","medium","decision-making","high","An intubated patient is on FiO2 0.80, PEEP 6 cm H2O, VT 6 mL per kg PBW, rate 18. ABG shows PaCO2 40 mm Hg and PaO2 55 mm Hg. Which change best targets oxygenation?","Increase PEEP","Increase rate","Decrease inspiratory time","Decrease FiO2","A","Ventilation is adequate; oxygenation is poor. Increasing PEEP improves alveolar recruitment.","A: Correct because PEEP directly improves oxygenation. | B: Rate affects CO2. | C: Not primary oxygenation lever. | D: Would worsen hypoxemia.","PaCO2 normal | PaO2 55","Treating ventilation instead of oxygenation.","Match ventilator change to physiologic deficit.","single best answer; physiology accurate"
"Oxygenation","PEEP versus FiO2 prioritization","medium","decision-making","high","A ventilated patient has PaO2 60 mm Hg on FiO2 0.90 and PEEP 5 cm H2O. PaCO2 is normal. What is the most appropriate next adjustment?","Increase PEEP","Increase rate","Decrease FiO2","Increase tidal volume to 10 mL per kg","A","High FiO2 with low PEEP suggests need for alveolar recruitment before further FiO2 escalation.","A: Correct because recruitment is needed. | B: Rate affects ventilation. | C: Would worsen hypoxemia. | D: Higher VT increases lung injury risk.","FiO2 0.90 | PEEP 5","Chasing oxygenation with tidal volume.","Recruit lung units before exceeding safe oxygen exposure.","single best answer; physiology accurate"
"Oxygenation","Severe ARDS rescue strategy","hard","decision-making","high","A patient with severe ARDS is on FiO2 0.90, PEEP 14 cm H2O, VT 6 mL per kg PBW. PaO2 is 58 mm Hg. Which intervention has strongest evidence to improve oxygenation while maintaining lung protection?","Prone positioning","Increase VT to 10 mL per kg","Lower PEEP","Stop sedation","A","Prone positioning improves oxygenation and outcomes in severe ARDS.","A: Correct because proning improves VQ matching. | B: Increases lung injury risk. | C: May worsen derecruitment. | D: Does not directly improve oxygenation.","FiO2 0.90 | severe ARDS","Breaking lung-protective limits.","Use evidence-based ARDS rescue strategies.","single best answer; physiology accurate"
"Oxygenation","Oxygen content versus oxygenation","hard","interpretation","high","A trauma patient has PaO2 180 mm Hg and SaO2 99 percent on FiO2 0.60. Hemoglobin is 5.6 g per dL and lactate is elevated. Which action most directly improves oxygen delivery?","Transfuse packed red blood cells","Increase FiO2 to 1.0","Increase PEEP","Reduce ventilator rate","A","Severe anemia limits oxygen content; transfusion increases arterial oxygen content.","A: Correct because CaO2 depends on hemoglobin. | B: Dissolved oxygen increase is minimal. | C: Does not fix low oxygen content. | D: Does not affect oxygen carrying capacity.","Hb 5.6 | high PaO2","Confusing oxygenation with oxygen delivery.","Distinguish CaO2 from PaO2.","single best answer; physiology accurate"
"Oxygenation","Dyshemoglobinemia recognition","hard","decision-making","moderate","A patient with smoke exposure has SpO2 100 percent but PaO2 240 mm Hg and neurologic symptoms. What test best clarifies the oxygenation abnormality?","CO oximetry","Stop oxygen","Spirometry","Diuretics","A","Pulse oximetry may be falsely reassuring in carbon monoxide exposure; CO oximetry measures carboxyhemoglobin.","A: Correct because it measures abnormal hemoglobin species. | B: Unsafe. | C: Irrelevant to hemoglobin binding. | D: No evidence of fluid overload.","smoke exposure | normal SpO2 | symptoms","Trusting pulse oximetry alone.","Use CO oximetry when dyshemoglobinemia suspected.","single best answer; physiology accurate"
"Oxygenation","Mixed oxygenation and ventilation assessment","hard","interpretation","moderate","A patient has PaO2 50 mm Hg and PaCO2 60 mm Hg on room air. Which mechanism most contributes to hypoxemia?","Hypoventilation","Shunt","Diffusion limitation","Low cardiac output","A","Elevated PaCO2 indicates hypoventilation contributing to hypoxemia.","A: Correct because CO2 retention reflects inadequate ventilation. | B: Shunt does not necessarily raise CO2. | C: Diffusion defect usually does not cause CO2 retention. | D: Low output does not directly alter PaO2.","PaCO2 60 | room air","Ignoring hypercapnia.","Use PaCO2 to identify hypoventilation.","single best answer; physiology accurate"
"Oxygenation","Oxygen toxicity risk versus hypoxemia priority","hard","decision-making","moderate","An intubated patient desaturates to SpO2 78 percent with PaO2 42 mm Hg during suctioning on FiO2 0.60. What is the immediate priority?","Increase FiO2 to stabilize oxygenation","Reduce FiO2 to prevent toxicity","Maintain current settings","Give bicarbonate","A","Acute severe hypoxemia is immediately life threatening; short term FiO2 increase is appropriate.","A: Correct because oxygen rescue outweighs short term toxicity risk. | B: Unsafe in severe hypoxemia. | C: Delays treatment. | D: Does not correct oxygenation.","PaO2 42 | acute desaturation","Overprioritizing oxygen toxicity in emergency.","Restore oxygenation first, then titrate down when stable.","single best answer; physiology accurate"
