category,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Ventilation","Pressure-time waveform plateau interpretation","medium","interpretation","high","A ventilated patient has peak pressure 38 cm H2O and plateau pressure 20 cm H2O. What is the most likely cause of the elevated peak pressure?","Increased airway resistance","Decreased lung compliance","Alveolar overdistention","Auto-PEEP","A","Large difference between peak and plateau indicates increased airway resistance.","A: Correct because resistance affects peak but not plateau. | B: Compliance problems raise both peak and plateau. | C: Overdistention raises plateau pressure. | D: Auto-PEEP raises baseline pressure, not just peak.","peak 38 | plateau 20","Confusing resistance with compliance.","Peak–plateau difference isolates airway resistance.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Restrictive compliance pattern recognition","medium","interpretation","high","A patient has peak pressure 34 cm H2O and plateau pressure 32 cm H2O on volume control ventilation. What does this indicate?","Normal mechanics","Increased airway resistance","Decreased lung compliance","Circuit leak","C","Peak and plateau both elevated with small difference suggests poor compliance.","A: Values are elevated. | B: Resistance shows larger peak–plateau gap. | C: Correct because compliance issues elevate plateau. | D: Leak would reduce pressures.","peak ≈ plateau","Focusing only on peak pressure.","Plateau pressure reflects compliance.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Spontaneous breathing trial failure indicator","medium","decision-making","high","During spontaneous breathing trial, RR rises to 36/min and tidal volume falls to 250 mL in a 70 kg patient. What is the best interpretation?","Likely successful weaning","RSBI indicates failure","Immediate extubation required","Need higher FiO2","B","RSBI = 36 / 0.25 = 144, which predicts weaning failure.","A: RSBI >105 predicts failure. | B: Correct calculation. | C: High RSBI predicts failure, not success. | D: Oxygenation not primary issue here.","RR 36 | VT 250 mL","Forgetting RSBI calculation.","High RSBI predicts extubation failure.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Flow waveform obstructive pattern","hard","interpretation","moderate","On ventilator flow-time waveform, expiratory flow shows prolonged tail and does not return to baseline before next breath. What condition is most consistent?","Restrictive lung disease","Normal ventilation","Obstructive air trapping","Neuromuscular weakness","C","Incomplete exhalation indicates obstructive physiology with air trapping.","A: Restrictive lungs empty quickly. | B: Normal returns to zero baseline. | C: Correct because obstruction prolongs expiration. | D: Weakness reduces volume but not waveform pattern.","expiratory flow not zero","Ignoring expiratory waveform clues.","Waveforms reveal obstructive mechanics.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Extubation readiness criteria","medium","decision-making","high","Which finding best supports readiness for extubation?","PaCO2 62 mm Hg with pH 7.25","RSBI 72","Plateau pressure 34 cm H2O","FiO2 requirement 0.80","B","RSBI less than 105 suggests likely weaning success.","A: Acidotic hypercapnia suggests instability. | B: Correct predictive parameter. | C: High plateau suggests poor mechanics. | D: High FiO2 requirement suggests oxygenation instability.","RSBI 72","Ignoring validated weaning predictors.","RSBI remains high-yield for TMC.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Increased dead space from pulmonary embolism","hard","interpretation","moderate","A ventilated patient develops sudden drop in ETCO2 from 38 to 22 mm Hg while PaCO2 increases from 40 to 55 mm Hg. What is the most likely cause?","Increased shunt","Increased dead space ventilation","Hypoventilation","Low FiO2","B","Divergence between PaCO2 and ETCO2 suggests increased dead space, as seen in pulmonary embolism.","A: Shunt affects oxygenation more than CO2 gradient. | B: Correct because dead space widens PaCO2–ETCO2 gradient. | C: Hypoventilation raises both ETCO2 and PaCO2. | D: FiO2 does not change ETCO2 directly.","ETCO2 drops | PaCO2 rises","Missing CO2 gradient clue.","Large PaCO2–ETCO2 gap = dead space.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Ventilator trigger sensitivity adjustment","medium","decision-making","moderate","A patient on assist-control ventilation shows double triggering and patient discomfort. What is the most appropriate adjustment?","Increase tidal volume significantly","Adjust trigger sensitivity","Increase FiO2","Decrease PEEP to zero","B","Improper trigger sensitivity can cause dyssynchrony and double triggering.","A: Increasing VT risks lung injury. | B: Correct because trigger settings improve synchrony. | C: Oxygenation not primary issue. | D: PEEP reduction does not correct trigger issue.","double triggering","Adjusting volume instead of synchrony.","Patient–ventilator synchrony improves comfort and ventilation.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Hyperventilation respiratory alkalosis","medium","interpretation","moderate","ABG shows pH 7.52, PaCO2 28 mm Hg, PaO2 95 mm Hg, HCO3 23 mEq/L. What is the primary disorder?","Acute respiratory alkalosis","Metabolic alkalosis","Chronic respiratory acidosis","Mixed acidosis","A","Low PaCO2 with alkalemia indicates acute respiratory alkalosis.","A: Correct. | B: HCO3 not elevated significantly. | C: PaCO2 low not high. | D: Pattern does not show acidosis.","pH 7.52 | PaCO2 28","Ignoring PaCO2 direction.","Respiratory alkalosis = low CO2.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Plateau pressure safety threshold","hard","decision-making","high","A patient with ARDS has plateau pressure of 36 cm H2O. What is the best immediate adjustment?","Increase tidal volume","Decrease tidal volume","Increase respiratory rate","Decrease FiO2","B","Plateau above 30 cm H2O increases risk of ventilator-induced lung injury. Tidal volume reduction lowers plateau.","A: Would increase plateau further. | B: Correct lung-protective strategy. | C: Rate affects CO2 more than plateau. | D: FiO2 does not change plateau directly.","plateau 36","Chasing CO2 instead of protecting lung.","Keep plateau under 30 to protect lungs.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Neuromuscular weakness ventilatory pattern","hard","interpretation","moderate","A patient with Guillain-Barré syndrome has rising PaCO2 with normal lung compliance and clear chest imaging. What is the primary cause?","Increased dead space","Central hypoventilation from neuromuscular weakness","Pulmonary edema","Shunt physiology","B","Neuromuscular weakness impairs ventilation leading to CO2 retention without intrinsic lung disease.","A: Dead space not indicated. | B: Correct because muscle weakness reduces ventilation. | C: No imaging evidence. | D: Shunt primarily affects oxygenation.","normal lungs | rising PaCO2","Looking for lung disease when mechanics are normal.","Weakness causes hypoventilation without compliance change.","single best answer: yes; physiology accurate: yes; no repeat: yes"
