category,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Ventilation","Prioritizing ventilation vs oxygenation","hard","decision-making","high","An intubated patient has SpO2 96 percent on FiO2 0.60. ABG shows pH 7.22, PaCO2 68 mm Hg, PaO2 110 mm Hg. What is the most appropriate ventilator adjustment?","Increase FiO2 to 1.0","Increase minute ventilation","Decrease PEEP","Administer diuretic","B","Oxygenation is adequate. The primary problem is respiratory acidosis from hypercapnia, requiring increased minute ventilation.","A: Oxygenation already sufficient. | B: Correct because CO2 clearance is inadequate. | C: PEEP not causing hypercapnia here. | D: No evidence of fluid overload.","PaO2 110 | pH 7.22 | PaCO2 68","Fixating on FiO2 despite normal oxygenation.","Match intervention to the dominant physiologic failure.","single best answer: yes; trap present: oxygen distraction; no repeat: yes"
"Ventilation","Overventilation correction","hard","decision-making","moderate","A ventilated patient has pH 7.55 and PaCO2 25 mm Hg. PaO2 is 92 mm Hg on FiO2 0.40. What adjustment is most appropriate?","Increase respiratory rate","Decrease minute ventilation","Increase PEEP","Increase FiO2","B","The patient is alkalotic from excessive ventilation. Reducing minute ventilation corrects hypocapnia.","A: Would worsen alkalosis. | B: Correct to normalize CO2. | C: PEEP does not address CO2. | D: Oxygenation adequate.","pH 7.55 | PaCO2 25","Treating normal oxygenation instead of ventilation issue.","Correct the variable that is abnormal.","single best answer: yes; trap present: oxygen distraction; no repeat: yes"
"Ventilation","Post-intubation sudden deterioration","hard","decision-making","high","Immediately after intubation, a patient develops rising peak pressure, falling SpO2, and absent breath sounds on the left. What should be done first?","Increase FiO2","Withdraw the endotracheal tube slightly","Administer bronchodilator","Order chest x-ray","B","Likely right mainstem intubation. Withdrawing the tube slightly restores bilateral ventilation.","A: Does not fix unilateral ventilation. | B: Correct immediate correction. | C: Not bronchospasm pattern. | D: Imaging delays correction.","after intubation | absent breath sounds one side","Ordering imaging before correcting likely mainstem.","Fix simple mechanical causes first.","single best answer: yes; trap present: diagnostic delay; no repeat: yes"
"Ventilation","High PEEP hemodynamic effect","hard","interpretation","moderate","A patient on high PEEP develops hypotension without changes in PaCO2. What is the most likely mechanism?","Increased cardiac preload","Reduced venous return","Metabolic acidosis","Improved lung compliance","B","High intrathoracic pressure from PEEP reduces venous return and cardiac output.","A: Opposite effect. | B: Correct hemodynamic mechanism. | C: Not described. | D: Compliance not related to hypotension.","high PEEP | hypotension","Ignoring cardiovascular impact of PEEP.","PEEP affects preload via intrathoracic pressure.","single best answer: yes; trap present: lung-only thinking; no repeat: yes"
"Ventilation","Dead space vs shunt confusion","hard","interpretation","high","A patient has rising PaCO2 despite increasing respiratory rate. PaO2 remains stable. What is the most likely cause?","Increased dead space ventilation","Increased shunt fraction","Low FiO2","Hypoxic drive suppression","A","Dead space reduces effective alveolar ventilation, so CO2 rises despite higher rate.","A: Correct. | B: Shunt affects oxygenation primarily. | C: Oxygenation not falling. | D: Not relevant in ventilated patient.","rising CO2 | stable oxygen","Confusing oxygen and CO2 physiology.","Dead space primarily impacts CO2 elimination.","single best answer: yes; trap present: shunt confusion; no repeat: yes"
"Ventilation","RSBI trap interpretation","hard","interpretation","moderate","A patient has RR 28 and tidal volume 320 mL during spontaneous breathing trial. What is the correct interpretation?","RSBI 8.9 indicates success","RSBI 89 indicates likely success","RSBI 112 indicates failure","RSBI 280 indicates failure","B","RSBI = 28 / 0.32 = 87.5, which predicts likely weaning success.","A: Calculation incorrect. | B: Correct value and interpretation. | C: Incorrect math. | D: Incorrect math.","convert mL to liters","Forgetting to convert mL to liters.","Math errors are common board traps.","single best answer: yes; trap present: unit conversion; no repeat: yes"
"Ventilation","Auto-PEEP mismanagement trap","hard","decision-making","high","A patient with asthma has worsening hypercapnia and high peak pressures. Flow does not return to baseline. What change would worsen the condition?","Decrease respiratory rate","Decrease tidal volume","Increase respiratory rate","Increase expiratory time","C","Increasing respiratory rate shortens expiratory time and worsens air trapping.","A: Helpful. | B: Helpful. | C: Correct because worsens hyperinflation. | D: Helpful.","flow not baseline | asthma","Increasing rate in obstructive disease.","More rate = less expiratory time.","single best answer: yes; trap present: intuitive but wrong; no repeat: yes"
"Ventilation","Permissive hypercapnia limit","hard","decision-making","moderate","An ARDS patient has pH 7.18 and PaCO2 72 mm Hg on lung protective ventilation. What is most appropriate?","Accept acidosis without intervention","Increase tidal volume to 10 mL/kg","Consider buffering or modest ventilatory adjustment","Decrease PEEP","C","Severe acidosis (pH < 7.20) may require cautious intervention while maintaining lung protection.","A: pH dangerously low. | B: Violates protective strategy. | C: Correct balanced response. | D: PEEP unrelated to CO2 clearance.","pH 7.18","Blindly accepting all hypercapnia.","Permissive hypercapnia has limits.","single best answer: yes; trap present: over-permissive error; no repeat: yes"
"Ventilation","Minute ventilation miscalculation","medium","interpretation","moderate","A patient has tidal volume 500 mL and respiratory rate 10. What is minute ventilation?","5 L/min","50 L/min","0.5 L/min","500 L/min","A","Minute ventilation = 0.5 L x 10 = 5 L/min.","A: Correct. | B: Decimal error. | C: Incorrect multiplication. | D: Extreme error.","convert mL to liters","Forgetting unit conversion.","Basic math errors cost easy points.","single best answer: yes; trap present: decimal error; no repeat: yes"
"Ventilation","Ventilation vs oxygenation priority conflict","hard","decision-making","high","A ventilated patient has PaO2 60 mm Hg on FiO2 0.50 and PaCO2 75 mm Hg with pH 7.19. Which adjustment has highest priority?","Increase minute ventilation","Increase FiO2 to 0.60","Decrease PEEP","Increase sedation","A","Severe respiratory acidosis (pH 7.19) represents immediate threat requiring ventilation correction.","A: Correct life-threatening abnormality. | B: Oxygenation moderate, not critical. | C: Not primary issue. | D: Sedation may worsen hypercapnia.","pH 7.19 | PaCO2 75","Chasing oxygen while ignoring severe acidosis.","Correct the most dangerous abnormality first.","single best answer: yes; trap present: oxygen distraction; no repeat: yes"
